endTime,artistName,trackName,msPlayed
2022-10-04 14:02,Suresh Wadkar,Om Namo Bhagvate Vasudevaya Namah,767
2022-10-05 00:56,Rajalakshmee Sanjay,Aigiri Nandini - Mahishasura Mardini Stotram,0
2022-10-05 01:11,Rajalakshmee Sanjay,Aigiri Nandini - Mahishasura Mardini Stotram,900774
2022-10-05 01:16,Partha Saradhi,Sri Hanuman Dandakam,233319
2022-10-05 01:19,Mano,Shiva Stuthi,205042
2022-10-05 01:20,Malola Kannan,Narasimha Bija Mantra,35717
2022-10-05 01:21,T.Sivaprasad,Medha Suktam,109951
2022-10-05 01:26,Nitya Santoshini,Garuda Gamana,286849
2022-10-05 01:28,Seven,Shanti Mantram,65678
2022-10-05 01:30,Challakere Brothers,Medha Sooktam,122588
2022-10-05 01:31,Prana Kishore,Om Sai Sri Sai- Shirdi Sai Baba Bhajan for Sat-Sang and Group Singing,79948
2022-10-05 01:32,Vishal Khera,Karpur Gauram Karuna Avataram Sansar Saaram Bhujagendra Haaram Shiva Shloka,13741
2022-10-05 01:32,Prabhakar Shukla,Shanti Mantra,61281
2022-10-05 01:57,Latha,Kousalya Supraja,1502887
2022-10-05 02:04,Ramu,Om Namo Narayanaya (Chanting),359000
2022-10-05 05:15,Yohani,"Manike (From ""Thank God"")",197473
2022-10-05 05:16,Shankar Mahadevan,Naluguriki,11017
2022-10-05 05:16,Ajit Kale,Tere Sath Mein,23799
2022-10-05 05:20,Divya Kumar,Raavana,258122
2022-10-05 05:24,Arun Kaundinya,Salaam Rocky Bhai,245760
2022-10-05 05:27,Thaman S,God Father - Title Song,165810
2022-10-05 05:33,Anurag Kulkarni,Ismart Title Song,252262
2022-10-05 05:36,Santhosh Narayanan,Nippu Ra,218666
2022-10-05 05:49,Yuvan Shankar Raja,Panjaa,161305
2022-10-06 14:45,Pritam,"Kesariya Audio Teaser (From ""Brahmastra"")",27077
2022-10-06 14:50,Pritam,Kesariya,268164
2022-10-06 14:54,Pritam,Deva Deva,279107
2022-10-06 15:07,Pritam,Dance Ka Bhoot,162364
2022-10-07 01:12,Pritam,Deva Deva - Film Version,17622
2022-10-07 01:14,Pritam,Dev Theme,125644
2022-10-07 01:15,Pritam,Rasiya Reprise,12090
2022-10-07 01:51,Latha,Kousalya Supraja,1493887
2022-10-07 12:39,Pritam,Kesariya,268164
2022-10-07 12:44,Pritam,Deva Deva,279107
2022-10-07 12:49,Pritam,Dance Ka Bhoot,245735
2022-10-07 12:50,Pritam,Rasiya,53897
2022-10-07 12:53,Yuvan Shankar Raja,Panjaa,214741
2022-10-07 12:56,Thaman S,Sarkaru Vaari Paata-Title Song,156079
2022-10-07 13:00,Thaman S,Najabhaja,197914
2022-10-07 13:03,M. M. Keeravani,Agni Skalana,189880
2022-10-07 13:31,Devi Sri Prasad,Daakko Daakko Meka,175611
2022-10-08 00:38,Hariharan,Shree Hanuman Chalisa,586075
2022-10-08 00:44,Anju Sharma,Kon Kahta Ki Bhagwan Aate Nhi,354977
2022-10-08 00:46,Deepak Kamra,Matrustuti Ratan Panchakam Strot,74853
2022-10-08 00:48,Prem Prakash Dubey,Shree Sankat Nashan Ganesh Stotram,129432
2022-10-08 00:49,Madhavas Rock Band,Tune Naam Japan - 1 Min Music,67200
2022-10-08 00:51,Paras Nath,Krishna Theme (Flute),127378
2022-10-08 00:58,Kailash Kher,Adiyogi (The Source of Yoga),393219
2022-10-08 01:04,Vidhi Sharma,Ram Stuti - Shri Ram Chandra Kripalu Bhajman,384235
2022-10-08 01:07,Pranita,Sindoor Lal Chadhayo,120193
2022-10-08 01:08,Jaidev,Sitaram Charit Ati Paavan,64295
2022-10-08 01:12,Shankar Sahney,Jai Hanuman Gyan,240169
2022-10-08 01:15,Ranjeet Singh Jadaun,Humaare Saath Shree Raghunath,149333
2022-10-08 01:22,SHRI PREM PRAKASH DUBEY,Durga Saptshati Navmo Adhyaya,445040
2022-10-08 01:25,Jubin Nautiyal,Shri Krishna Govind Hare Murari,153002
2022-10-08 01:30,Vashti Scheer,Shree Hari Stotram,277640
2022-10-08 01:34,Madhavas Rock Band,Mere Banke Bihari Lal,225623
