Coded,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
p25,0.04026072309838,0.0388762257268533,0.4046776096985302,-0.861869220040768,0.0479562278725458,0.0046705396416693,0.0335886400600793,0.0078036509741444,0.0119202124235597,0.0312368093552193,8.872504988735114,17616.94260272503,0.2803347280334728
p26,0.0427438668539932,0.0355513941424402,0.413932279759579,-0.6726597444487858,0.0655296826808768,0.0044318133827698,0.0407735156279044,0.0011464947318956,0.0112848876455868,0.0280192611128199,9.11718369925762,17175.380940900664,0.2961825270806142
p29,0.0465117971913235,0.0412284984803675,0.3801775803904312,-0.6058572944061836,0.0369214396086818,0.0094672001582737,0.0206758080579063,0.0048349902821979,0.014199493455859,0.024118388063978,9.182075493837901,18387.517899598515,0.3002902821979581
p30,0.0472800216955795,0.051740745698064,0.3951482385463961,-0.5564319957308698,0.045438241958201,0.0078097455143514,0.0269616634070808,0.0029899975421007,0.0130090736512435,0.0412347277992109,9.458035902684829,17865.941938080116,0.2924354162839321
p32,0.0490082827219224,0.0479481883308576,0.412678863546622,-0.541596920068443,0.0418742831355884,0.0053900936389447,0.0245355245209935,0.0010655969267435,0.0114466972528815,0.0401613588928793,8.95903884699998,17809.250907244797,0.3058872196002481
p34,0.0463167197595342,0.0479367948551513,0.3876012342843447,-0.5001755459910723,0.0587982704041382,0.004839175545991,0.0194938608434276,0.0008382069347606,0.0118455367039814,0.0335850148293871,9.058548787185812,16613.6227943159,0.3054953614475878
p35,0.0567282509157509,0.0504065934065934,0.3754578754578754,-0.4707600732600732,0.0368589743589743,0.0097023122710622,0.0184501339125457,0.0010038856387362,0.015439652014652,0.0399127289377289,8.852725274725275,15827.49977106227,0.3076923076923077
p36,0.0497009265614275,0.048324371733277,0.4247399820495221,-0.5305532706826461,0.0344490787181246,0.005449911567499,0.0275120211182091,0.0007280167458159,0.0121040533762736,0.0412952299245024,8.866112916424687,18552.012314555726,0.3033102792883163
p39,0.0505119044473218,0.0523052598895436,0.4079486298654969,-0.4811865602621356,0.0439711439367914,0.0084559337261844,0.0174053349804455,0.0041352535723911,0.0152035079142774,0.0387002761408979,9.217108117749648,16899.519039188224,0.3035435879819253
p40,0.0424834401709401,0.0456428418803418,0.375,-0.6568803418803418,0.0544871794871794,0.0054604166666666,0.0326705112179487,0.0056091339743589,0.0139453525641025,0.0337569978632478,8.938363247863247,19997.36485042735,0.2857905982905982
p41,0.0417900086880973,0.0415704223751921,0.3773975806990576,-0.6673715832386553,0.0359776337187284,0.0057027735079863,0.030592010869478,0.0101937611900465,0.0137537837777629,0.0288262803804941,8.943507785871818,19682.39301387868,0.2930562053064225
p43,0.0473190266209374,0.0470497533888616,0.3879634166258369,-0.5825747836028091,0.049436550710436,0.0050340699003756,0.0320696149273232,0.0020583211055038,0.012209764821166,0.0410376727094561,9.058846202841744,19927.348244324676,0.3008655887636779
p44,0.0463123960066555,0.0510388557532317,0.3902150262383207,-0.4671099129655701,0.0494048380903622,0.0051520414693459,0.0196405203292589,0.0018947517070907,0.0118638935108153,0.0371748784077819,9.667852233457058,17725.22132983489,0.3039805452451043
p45,0.0509056890210501,0.0501171562720087,0.4122388293293685,-0.5118272165271148,0.0388919320760622,0.0059417012285781,0.0257857182878159,0.0013343255755536,0.0128249550043039,0.0421040691759918,9.266149933484623,18128.226700054776,0.2954847797167227
p46,0.0493636363636363,0.0468883449883449,0.400196294933137,-0.5833246227456754,0.0426941479573058,0.0051278248067721,0.0268889678567046,0.0026348093988467,0.0114034474297632,0.0375594405594405,9.003824684087842,18867.530732425468,0.3002085633664581
