artistName,trackName
Diesby,"Duppata (From ""Jugjugg Jeeyo"")"
Dev Negi,"Kala Sha Kala (From ""OM - Rashtra Kavach"")"
Tony Kakkar,17 Lakh Da Gajra
Alisha Chinai,Chamkegaa India
Chakshu Kotwal,Shopping
Kanishk Seth,"Rangisari (From ""Jugjugg Jeeyo"")"
Kanika Kapoor,"Oo Bolega Ya Oo Oo Bolega (From ""Pushpa The Rise Part - 01"")"
A.R. Rahman,"Chaka Chak (From ""Atrangi Re"")"
Raftaar,Ghana Kasoota (feat. Surbhi Jyoti)
Aastha Gill,Saawariya (feat. Arjun Bijlani)
Asees Kaur,52 Gaj Ka Daman (Hindi)
Amrit Maan,Trending Nakhra
Jakir Sogan,Tu chhori chalak
MD KD,Zblack
Khayek,Maar Denge
Simple Ken - Hosted by Kenny Sebastian,Self Doubt (Feat. Aakash Gupta) - Simple Ken | EP 24
Ayo & Teo,Rolex
Yeat,Monëy so big
Trefuego,90mh
On Purpose with Jay Shetty,6 Ways To Stop Getting Distracted and Start Getting Focused
22 Yarns with Gaurav Kapur (Cricket Podcast),Believe ft. Suresh Raina 
Diljit Dosanjh,Panga
Sachet Tandon,Barbaadiyan
Dr Zeus,"Woofer (feat. Snoop Dogg, Zora Randhawa & Nargis Fakhri)"
Chandana Dixit,Husn Hai Suhana
Viju Shah,"Kisi Disco Mein Jaaye (From ""Bade Miyan Chote Miyan"") - Jhankar"
Alka Yagnik,Main Toh Raste Se Ja Raha Tha
Kumar Sanu,O Lal Dupatte Wali
Sukhbir,"Oh Ho Ho Ho-Soni De Nakhre (From ""T-Series Mixtape Punjabi"")"
Brown Gal,"Laung Gwacha (From ""Laung Gwacha"")"
Nyvaan,"Tera Ishq (From ""Tera Ishq"")"
Foji Karambir,Pani Aali Pani Pya De
Shekh Tanveer,BIN TERE SANAM MAR MITENGE HUM
Dj Anil Thakur,Bin Tere Sanam - Original Mix
Lata Mangeshkar,Mere Khwabon Mein
Himesh Reshammiya,O Meri Zohrajabeen
Sanam,Gulabi Aankhen
Kishore Kumar,Mere Samnewali Khidki Mein
Manna Dey,Ae Mere Zohra Jabeen
Shahid Mallya,Ikk Kudi
Anu Malik,Gori Gori Gori Gori
Madhuri Dixit,Dialogues (Hum Aapke Hain Koun)
Mano,Muqabala Muqabala
Asha Bhosle,Zara Sa Jhoom Loon Main
KK,Chale Jaise Hawaien
Ranjit Barot,Main Hoon Na (Remix)
