Roy Woods,Drama (feat. Drake)
Clara Mae,Loved You Once
Olivia O'Brien,hate u love u
Boy In Space,7UP
The Neighbourhood,Reflections
Strawberry Guy,Mrs Magic
Bruno Major,Nothing
girl in red,we fell in love in october
Ghostly Kisses,Where Do Lovers Go?
Pink Floyd,Time
Yoke Lore,Seeds
Acid Ghost,Sandy Kim
Lana Del Rey,Happiness is a butterfly
Blake Rose,Ordinary People
CASTLEBEAT,Change Your Mind
LANY,nobody else
KSI,Holiday
Eida,Nightdriver
Sam Smith,Like I Can
Amit Trivedi,Naina Da Kya Kasoor
Shweta Pandit,Tere Ho Ke Rahenge - Reprise
Kamaal Khan,O O Jaane Jaana
Black Atlass,Sacrifice (feat. Jessie Reyez)
BØRNS,Electric Love
Gym Class Heroes,Stereo Hearts (feat. Adam Levine)
Taylor Swift,We Are Never Ever Getting Back Together
Issam Alnajjar,Hadal Ahbek
Maroon 5,"Moves Like Jagger - Studio Recording From ""The Voice"" Performance"
K.Flay,High Enough
Ty Dolla $ign,"Or Nah (feat. The Weeknd, Wiz Khalifa & DJ Mustard) - Remix"
Rilès,MARIJUANA
Metro Boomin,Borrowed Love (feat. Swae Lee & WizKid)
Baby Keem,issues
A Boogie Wit da Hoodie,Look Back at It
Stormzy,Vossi Bop
Chase Atlantic,Moonlight
5 Seconds of Summer,Teeth
Gunna,pushin P (feat. Young Thug)
Rovalio,Dua
Karan Aujla,80 Degrees
alt-J,Fitzpleasure
AURORA,Runaway
Gasp,Little White Lies
Shyne,Bad Boyz (feat. Barrington Levy)
Badshah,"Bad Boy (From ""Saaho"")"
AP Dhillon,Fate
Dream Note,Waqt Ki Baatein
Vismay Patel,Pal Behta Jaaye
ElyOtto,SugarCrash!
Giveon,Heartbreak Anniversary
Harnoor,Waalian
Josh Dreon,Letting Go
Ember Island,Umbrella
Pink Sweat$,At My Worst
R3HAB,Good Example (with Andy Grammer)
Kina,Can We Kiss Forever?
Jack & Jack,No One Compares To You
Trevor Daniel,Falling
Hailee Steinfeld,I Love You's
Nick Jonas,Right Now
Ellie Goulding,Hate Me
Aditya Rikhari,Kya Karein
Vayu,Baatein Karo
Pratsofficial,Aziyat 2.0 - Reprise Version
AronChupa,I'm an Albatraoz
Eagles,Hotel California - 2013 Remaster
Nirvana,Heart-Shaped Box
Linkin Park,Iridescent
Slash,Gotten
Alyssa Mendonsa,Khaabon Ke Parinday
Sultana,Patakha Guddi
Tritonal,When I'm With U - RetroVision Remix
Steve Aoki,Let It Be Me
Lost Kings,Anti-Everything
Wazir Patar,Notorious
Varinder Brar,12 Bande
Mankirt Aulakh,2 Raflaan (feat. Gurlej Akhtar)
Shally Rehal,Murder
Tanishk Bagchi,"Raataan Lambiyan (From ""Shershaah"")"
Monty Sharma,Jab Se Tere Naina
Divyam Agarwal,Tu Itni Khoobsurat Hai (LoFi)
Guru Randhawa,Lahore
Sharry Mann,3 Peg
Jubin Nautiyal,Tujhe Kitna Chahein Aur (Film Version)
Aditya A,Chaand Baaliyan
Deorro,I Like This F’n Song
Mac Miller,Self Care
AWOLNATION,Run
Logic,We Get High
A$AP Ferg,"Dreams, Fairytales, Fantasies (feat. Brent Faiyaz & Salaam Remi)"
A$AP Rocky,L$D
Powfu,snowflake (feat. Jaden & Sarcastic Sounds)
Leo Stannard,Gravity
Dikshant,Aankhon Se Batana
Seeb,Fade Out
Dathan,Mirror Masa (I Think I'm Fallin' for Ya)
Julia Powell,Sugar
blakenz,she make it clap freestyle
Lez Zeppelin,Whole Lotta Love
Mustard,Whole Lotta Lovin'
Led Zeppelin,Whole Lotta Love - 1990 Remaster
Calvin Harris,Slide (feat. Frank Ocean & Migos)
Abdul Hannan,Bikhra
Future,WAIT FOR U (feat. Drake & Tems)
Shae Gill,Pasoori
Rammor,Higher
Mark Mendy,Rubberband
Santi,Runnin'
Fini,In Your Arms
Marcus James,Make Me Sad
Steam Phunk,Same Way
Henri Purnell,Where My Heart Is At
Taska Black,Easier
Lil Nas X,THATS WHAT I WANT
Jason Derulo,Acapulco
FDVM,Good Life feat. Henri PFR
Adnan Sami,Tera Chehra
Mitraz,Tera Chehra
Jass Manak,Chehra Tera
Ravi Basrur,Brave Theme
Ari,Press Pause
The Script,Superheroes
Nandini Srikar,Bhare Naina
Shruti Haasan,"Joganiyan (From ""Tevar"")"
Vishal Dadlani,Jee Le Zaraa
Void!,Night Changes (lofi)
