endTime,artistName,trackName,msPlayed
2022-10-05 10:49,Santhosh Narayanan,"Thenmozhi (From ""Thiruchitrambalam"")",177305
2022-10-05 13:24,Santhosh Narayanan,"Thenmozhi (From ""Thiruchitrambalam"")",28305
2022-10-05 13:26,Mamta Sharma,Munni Badnaam,94
2022-10-05 13:26,Pritam,Ghagra,0
2022-10-05 13:26,Pritam,Mit Jaaye Gham (Dum Maaro Dum),3
2022-10-05 13:26,Ritu Pathak,Jalebi Bai,23
2022-10-05 13:26,Sunidhi Chauhan,Sheila Ki Jawani,23
2022-10-05 13:26,Meet Bros Anjjan,"Baby Doll (From ""Ragini Mms 2"")",1396
2022-10-05 13:26,Pritam,Crazy Kiya Re,92080
2022-10-05 13:26,Yo Yo Honey Singh,Yaar Naa Miley,183
2022-10-05 13:26,Pritam,Kamli,0
2022-10-05 13:26,Pawni Pandey,Laila Main Laila,600
2022-10-05 13:26,Mamta Sharma,Fevicol Se,0
2022-10-05 13:26,Kanika Kapoor,Lovely,300
2022-10-05 13:26,Pritam,Afghan Jalebi (Film Version),590
2022-10-05 13:26,Pritam,Dil Mera Muft Ka,1539
2022-10-05 13:26,Mamta Sharma,Anarkali Disco Chali,1944
2022-10-05 13:27,Mika Singh,Aapka Kya Hoga (Dhanno),37195
2022-10-05 13:27,Mamta Sharma,Pinky,1101
2022-10-05 13:27,Ajay-Atul,Chikni Chameli,1209
2022-10-05 13:27,Shreya Ghoshal,"Ek Do Teen (From ""Baaghi 2"")",0
2022-10-05 13:29,Ajay-Atul,Chikni Chameli,92370
2022-10-05 13:29,Shreya Ghoshal,"Ek Do Teen (From ""Baaghi 2"")",1979
2022-10-05 13:30,Neha Kakkar,"O Saki Saki (From ""Batla House"")",83971
2022-10-05 13:30,Shankar-Ehsaan-Loy,Kajra Re,2016
2022-10-05 13:30,Sohail Sen,Asalaam-e-Ishqum,1186
2022-10-05 13:30,Sajid-Wajid,Mashallah,1301
2022-10-05 13:33,Shraddha Pandit,Bipasha,1427
2022-10-05 13:33,Sunidhi Chauhan,Beedi,731
2022-10-05 13:33,Salim–Sulaiman,Halkat Jawani,76383
2022-10-05 13:34,Shraddha Pandit,Bipasha,51015
2022-10-05 13:34,Sunidhi Chauhan,Beedi,23
2022-10-05 13:35,Sajid-Wajid,Aa Re Pritam Pyaare,62681
2022-10-05 13:37,Neha Kakkar,"Dilbar (From ""Satyameva Jayate"")",110847
2022-10-05 13:37,Vishal-Shekhar,Radha,14305
2022-10-05 13:41,Pritam,Radha,206155
