endTime,artistName,trackName,msPlayed
2022-12-01 05:18,Tanishk Bagchi,"Aap Jaisa Koi (From ""An Action Hero"")",148458
2022-12-06 05:52,Yuvan Shankar Raja,"Bujjikanna (From ""Love Today (Telugu)"")",134813
2022-12-06 05:55,The Kid LAROI,STAY (with Justin Bieber),141805
2022-12-06 06:02,A.R. Rahman,Vintunnavaa,417066
2022-12-06 06:06,Rochak Kohli,Tera Yaar Hoon Main,264805
2022-12-06 06:10,Anirudh Ravichander,"Bae (From ""Don"")",213458
2022-12-06 06:13,Tanishk Bagchi,"Bolna (From ""Kapoor & Sons (Since 1921)"")",212832
2022-12-06 06:16,Justin Bieber,Hold On,170813
2022-12-06 06:20,Mickey J. Meyer,Mari Antaga,225953
2022-12-06 06:24,Sooraj Santhosh,Love Me Again,246909
2022-12-06 06:27,dhruv,double take,171743
2022-12-06 06:32,OneRepublic,Counting Stars,257266
2022-12-06 06:36,Anirudh Ravichander,Why This Kolaveri Di? - The Soup of Love,259293
2022-12-06 06:38,Justin Bieber,Somebody,132603
2022-12-06 06:44,Vijai Bulganin,Yemaiundacho,325519
2022-12-06 06:48,Kalyani Malik,Em Sandeham Ledu,232914
2022-12-06 06:52,Sri Krishna,Aadinchi Ashta Chamma,223173
2022-12-06 06:56,Olivia Rodrigo,drivers license,242013
2022-12-06 06:58,Nilotpal Bora,De Mauka Zindagi,167811
2022-12-06 07:02,Vishal Chandrashekhar,Inthandham,218808
2022-12-06 07:06,The Chainsmokers,Closer,244960
2022-12-06 07:12,Charlie Puth,Loser,204376
2022-12-06 07:17,Jeet Gannguli,Khamoshiyan,289303
2022-12-06 07:21,Adele,Easy On Me,224694
2022-12-06 07:24,Alan Walker,On My Way,193797
2022-12-06 07:37,Selena Gomez,Wolves,163037
2022-12-06 21:19,Haricharan,Yemito,1650
2022-12-07 03:46,Anne-Marie,Our Song,163733
2022-12-07 08:35,Sachin-Jigar,Thumkeshwari,163179
2022-12-07 08:39,Sachin-Jigar,Apna Bana Le,261702
2022-12-07 08:42,Sachin-Jigar,Jungle Mein Kaand,166523
2022-12-07 08:46,Sachin Sanghvi,Baaki Sab Theek,193835
2022-12-07 08:49,Tanishk Bagchi,Jugjugg Jeeyo,142208
2022-12-07 08:52,Gippy Grewal,The Punjaabban Song,199029
2022-12-07 08:56,Kanishk Seth,Rangisari,223271
2022-12-07 08:59,King,Maan Meri Jaan,194653
2022-12-07 09:07,Pritam,"Kesariya (From ""Brahmastra"")",256643
2022-12-07 09:10,Rito Riba,Heer Ranjha,223107
2022-12-07 09:16,Rekha Bhardwaj,Aise Kyun - Ghazal Version,329080
2022-12-07 09:28,Yohani,"Manike (From ""Thank God"")",105789
2022-12-07 09:48,Nathan Dawe,Way Too Long,69708
2022-12-07 09:50,Metro Boomin,Creepin' (with The Weeknd & 21 Savage),136810
2022-12-07 13:02,Silambarasan TR,"Thee Thalapathy (From ""Varisu"")",224383
2022-12-07 13:06,Charlie Puth,Loser,204376
2022-12-07 13:10,Ed Sheeran,Barcelona,184643
2022-12-07 13:14,Taylor Swift,Bad Blood,211933
2022-12-07 13:16,Miley Cyrus,Prisoner (feat. Dua Lipa),161066
2022-12-07 13:18,OneRepublic,I Ain't Worried,115935
2022-12-07 13:21,Ava Max,Kings & Queens,0
2022-12-07 13:24,One Direction,Night Changes,226600
2022-12-07 13:27,The Kid LAROI,STAY (with Justin Bieber),129330
2022-12-07 13:30,Calvin Harris,One Kiss (with Dua Lipa),214846
2022-12-07 13:34,Ed Sheeran,Shivers,207853
2022-12-07 13:41,Coldplay,Hymn for the Weekend,258266
2022-12-07 13:46,Ava Max,Kings & Queens,134123
2022-12-07 16:58,Kanishk Seth,"Rangisari (From ""Jugjugg Jeeyo"")",3340
2022-12-07 16:58,Pritam,"Rasiya (From ""Brahmastra"")",20066
2022-12-07 17:00,Ava Max,Kings & Queens,13010
2022-12-07 17:02,Charlie Puth,That's Hilarious,144933
2022-12-07 17:05,Ed Sheeran,Shivers,11369
2022-12-07 17:05,Bebe Rexha,Break My Heart Myself (feat. Travis Barker),151999
2022-12-07 17:05,The Weeknd,Blinding Lights,23
2022-12-07 17:09,The Weeknd,Save Your Tears,215626
2022-12-07 17:12,OneRepublic,I Ain't Worried,148485
2022-12-07 17:15,Halsey,Without Me,201660
2022-12-07 17:18,Lil Nas X,THATS WHAT I WANT,143901
2022-12-07 17:21,Olivia Rodrigo,good 4 u,178146
2022-12-07 17:23,Justin Bieber,Hold On,170813
2022-12-07 17:26,Marshmello,Leave Before You Love Me (with Jonas Brothers),154983
2022-12-07 17:58,Sonu Nigam,Zoobi Doobi,246166
2022-12-07 17:58,Pritam,Balam Pichkari,13024
2022-12-07 17:59,The Chainsmokers,Something Just Like This,222625
2022-12-07 18:01,Clean Bandit,Drive (feat. Wes Nelson),179374
2022-12-07 18:03,Ruth B.,Dandelions,130461
2022-12-07 18:06,Fifth Harmony,Worth It,185256
2022-12-07 18:09,Xavier White,Holiday,161955
2022-12-07 18:13,Calvin Harris,This Is What You Came For,222160
2022-12-07 18:16,Lauv,I Like Me Better,197436
2022-12-07 18:19,OneRepublic,Run,168259
2022-12-07 18:20,Ed Sheeran,Bad Habits,0
2022-12-07 18:20,The Kid LAROI,STAY (with Justin Bieber),6101
2022-12-07 18:22,Jason Derulo,Acapulco,122069
2022-12-07 18:26,The Weeknd,Take My Breath - Single Version,220196
2022-12-07 18:28,Meghan Trainor,Title,131751
2022-12-07 18:30,Imagine Dragons,Enemy (with JID) - from the series Arcane League of Legends,143149
2022-12-07 18:33,Sia,Snowman,165900
2022-12-07 18:36,Pitbull,Timber (feat. Ke$ha),204160
2022-12-07 18:37,Demi Lovato,I Will Survive,43690
2022-12-07 18:41,Luis Fonsi,Despacito,229360
2022-12-07 18:44,Enrique Iglesias,Heart Attack,170146
2022-12-07 18:45,Flo Rida,Right Round (feat. Ke$ha),3973
2022-12-07 18:47,Rihanna,Love The Way You Lie (Part II) - Pt. 2,125631
2022-12-07 18:47,Luis Fonsi,Despacito,1514
2022-12-07 18:49,Eminem,Rap God,135296
2022-12-07 18:53,Justin Bieber,Baby,210517
2022-12-07 18:53,Charlie Puth,Left and Right (Feat. Jung Kook of BTS),1408
2022-12-07 18:54,Adelmar Borrego,"Twinkle, Twinkle, Little Star",74218
2022-12-07 18:58,Meet Bros Anjjan,Baby Doll,161088
2022-12-07 19:02,Nagaraju,Anitha O Anitha,222954
2022-12-07 19:03,Ruth B.,Dandelions,2474
2022-12-07 19:08,A.R. Rahman,Jashn-E-Bahaaraa,315173
2022-12-07 19:16,A.R. Rahman,Kun Faya Kun,470500
2022-12-07 19:17,Pritam,Tu Hi Haqeeqat,48121
2022-12-07 19:20,Armaan Malik,"Jab Tak (From ""M.S.Dhoni - The Untold Story"")",174039
2022-12-07 19:25,A.R. Rahman,Raanjhanaa,254653
2022-12-07 19:28,Ritviz,Liggi,181176
2022-12-07 19:32,Vishal Mishra,"Kaise Hua (From ""Kabir Singh"")",234722
2022-12-07 19:35,Yasser Desai,"Dil Ko Karaar Aaya (From ""Sukoon"")",231486
2022-12-07 19:39,OAFF,Doobey,219686
2022-12-07 19:42,Taniskaa Sanghvi,"Ek Zindagi (From ""Angrezi Medium"")",168179
2022-12-07 19:47,Sachin-Jigar,Iss Tarah,26606
2022-12-07 19:47,Sachin-Jigar,Maana Ke Hum Yaar Nahin,264614
2022-12-07 19:51,Sachin-Jigar,Haareya,214735
2022-12-07 19:53,Vismay Patel,Pal Behta Jaaye,10364
2022-12-07 19:57,Suraj Jagan,Give Me Some Sunshine,247346
2022-12-07 20:03,Pritam,Tum Se Hi,312323
2022-12-07 20:03,KK,Ajab Si,10282
2022-12-07 20:06,Sonu Nigam,Main Agar Kahoon,9685
2022-12-07 20:06,Atif Aslam,Tera Hone Laga Hoon,191381
2022-12-07 20:06,A.R. Rahman,Jashn-E-Bahaaraa,1109
2022-12-07 20:10,Shaan,Behti Hawa Sa Tha Woh,257023
2022-12-08 06:19,Leon James,Almost Padipoyindhe Pilla,213242
2022-12-08 06:22,Silambarasan TR,Time Ivvu Pilla,215303
2022-12-08 06:27,Anurag Kulkarni,"Ranjithame (From ""Vaarasudu"") [Telugu]",286627
2022-12-08 06:32,Vijai Bulganin,Madhi Thalupunu Thelupaleka - Meet the Boy,266958
2022-12-08 06:34,Shahid Mallya,"Nee Kalle Diwali (From ""Gaalodu"")",128574
2022-12-08 06:37,Dhanunjay Seepana,"Naa Madhi (From ""Thiru"")",174193
2022-12-08 06:41,Thaman S,Thaar Maar Thakkar Maar,267727
2022-12-08 06:44,Ram Miriyala,Tillu Anna DJ Pedithe,183500
2022-12-08 06:48,Ravi Basrur,The Monster Song - Extended Version,166145
2022-12-08 06:52,Madeen SK,Zari Zari Panche Katti,247552
2022-12-08 07:30,Pritam,Aao Milo Chalo,208810
2022-12-08 07:35,Pritam,Rasiya,265063
2022-12-08 07:38,Pritam,Shiva Theme,154744
2022-12-08 07:42,Pritam,Afghan Jalebi (Film Version),0
2022-12-08 07:42,Pritam,Deva Deva - Film Version,383
2022-12-08 07:42,Pritam,Rasiya Reprise,0
2022-12-08 07:42,Pritam,Dev Theme,174693
2022-12-08 07:42,Pritam,Kesariya - Dance Mix,1194
2022-12-08 07:42,Aditya A,Chaand Baaliyan,1855
2022-12-08 07:47,Pritam,Afghan Jalebi (Ya Baba),230574
2022-12-08 07:59,Anne-Marie,2002,186986
2022-12-08 08:03,Atif Aslam,O Saathi,225364
2022-12-08 08:27,Akhil Sachdeva,Tera Ban Jaunga,199210
2022-12-08 08:32,Pritam,"Hum Nashe Mein Toh Nahin (From ""Bhool Bhulaiyaa 2"")",231802
2022-12-08 08:35,Sachet-Parampara,"Maiyya Mainu (From ""Jersey"")",221714
2022-12-08 08:38,Kaushik-Guddu,"Dil (From ""Ek Villain Returns"")",143379
2022-12-08 08:40,Armaan Malik,Pehla Pyaar,154069
2022-12-08 08:43,Arijit Singh,"Yaar Ve (From ""Code Name Tiranga"")",163008
2022-12-08 08:48,MM Sreelekha,Urike Urike,275625
2022-12-08 08:50,Kanishk Seth,Rangisari,127608
2022-12-08 08:54,Arijit Singh,Atak Gaya - Arijit Singh,156288
2022-12-08 08:56,Sid Sriram,Adiga Adiga,131050
2022-12-08 08:58,Praveen Lakkaraju,"Emo Emo - From ""Raahu""",139882
2022-12-08 09:00,Sid Sriram,Maguva Maguva - Telugu,94101
2022-12-08 09:02,Thaman S,Kalaavathi,112319
2022-12-08 11:47,King,Tu Aake Dekhle,265920
2022-12-08 12:22,Mangli,Saranga Dariya,114983
2022-12-08 12:27,Suraj Jagan,Give Me Some Sunshine,247346
2022-12-08 12:36,A.R. Rahman,Kun Faya Kun,470500
2022-12-08 12:38,Armaan Malik,Ninnila,115755
2022-12-08 12:41,Amit Trivedi,Shubhaarambh,232533
2022-12-08 12:45,Arijit Singh,Zaalima,224711
2022-12-08 12:49,Tanishk Bagchi,"Tip Tip (From ""Sooryavanshi"")",1480
2022-12-08 12:49,Alka Yagnik,"Agar Tum Saath Ho (From ""Tamasha"")",5130
2022-12-08 12:49,Bombay Jayashri,Zara Zara,222286
2022-12-08 12:52,Alka Yagnik,Agar Tum Saath Ho,173275
2022-12-08 12:55,Sachin-Jigar,Thumkeshwari,142476
2022-12-08 12:56,A.R. Rahman,Mallipoo,107294
2022-12-08 13:00,Silambarasan TR,"Thee Thalapathy (From ""Varisu"")",225417
2022-12-08 13:03,Vishal-Shekhar,Firecracker,149791
2022-12-08 13:05,Anirudh Ravichander,"Porata Simham (EDM Version) [From ""Vikram Hitlist""]",149433
2022-12-08 13:07,R. P. Patnaik,Raanu Raanu,134101
2022-12-08 13:11,Rahul Sipligunj,Paala Pitta,199800
2022-12-08 13:16,B Praak,Suryudivo Chandrudivo,275026
2022-12-08 13:19,Sid Sriram,Undiporaadhey,173932
2022-12-08 13:25,David Simon,Bharat Ane Nenu (The Song Of Bharat),324917
2022-12-08 13:28,Pravin Saivi,Achcham Telugandham,177834
2022-12-08 13:31,Rahul Nambiar,Bala Tripuramani,216943
2022-12-08 13:35,Sagar,Jatha Kalise,224141
2022-12-08 13:38,Armaan Malik,Buttabomma - Telugu,198782
2022-12-08 13:40,Arun Gopan,Ninnu Kori Tittle Song,108994
2022-12-08 13:46,Praveen Lakkaraju,"Emo Emo - From ""Raahu""",242412
2022-12-08 13:50,Hari Teja,Oo… Baava…,238806
2022-12-08 13:54,Thaman S,"Hey Idi Nenena (From ""Solo Brathuke So Better"")",231383
2022-12-08 13:59,Rahul Nambiar,Guruvaram,262246
2022-12-08 14:02,Mickey J. Meyer,Sitamma Vakitlo,221670
2022-12-08 14:06,Sid Sriram,Samajavaragamana,219818
2022-12-08 14:06,Armaan Malik,Ninnila,0
2022-12-08 14:10,Mani Sharma,Nuvvem Maya,242689
2022-12-08 14:16,Mani Sharma,Cheppave Chirugali,330935
2022-12-08 14:21,Karthik,Choododhu,302413
2022-12-08 14:25,Neha Bhasin,Aww Tuzo Mogh Korta,237772
2022-12-08 14:27,Shweta Mohan,Nee Selvadigi,97680
2022-12-08 14:31,Vijay Yesudas,Evare,232928
2022-12-08 14:34,Jubin Nautiyal,Telusaa Telusaa,193230
2022-12-08 14:36,Armaan Malik,Vinnane Vinnane,1113
2022-12-08 14:36,Sid Sriram,Mella Mellagaa,111589
2022-12-08 14:40,L. V. Revanth,I Wanna Fly,209626
2022-12-08 14:41,Vijay Deverakonda,What The Life,50627
2022-12-08 14:44,G. V. Prakash,Pranama,5114
2022-12-08 14:44,Naresh Iyer,Inthalo Ennenni Vinthalo Male,218604
2022-12-08 14:44,Sid Sriram,Maguva Maguva - Telugu,1989
2022-12-08 14:48,Armaan Malik,Ninne Ninne - Telugu,200918
2022-12-08 14:52,Devi Sri Prasad,Padipoya,235800
2022-12-08 14:56,Ranjith Govind,Vellipoke,277186
2022-12-08 15:00,Siddharth Mahadevan,Sweety,230718
2022-12-08 15:04,Anirudh Ravichander,Emannavoo,194729
2022-12-08 15:18,Sid Sriram,"Neeli Neeli Aakasam (From ""30 Rojullo Preminchadam Ela"")",163051
2022-12-08 16:05,Devi Sri Prasad,Boss Party,200208
2022-12-08 16:09,Thaman S,Jai Balayya Mass Anthem,230791
2022-12-08 16:13,Leon James,Almost Padipoyindhe Pilla,213242
2022-12-08 17:19,Enrique Iglesias,Heart Attack,166628
2022-12-09 06:34,Ronit Vinta,Tu Chodiyon Na,212922
2022-12-09 06:37,Rito Riba,Ik Tu Hi (No-Mabe),196060
2022-12-09 06:41,Dikshant,Aankhon Se Batana,221271
2022-12-09 06:43,Faridkot,Nasha (Equals Sessions),146174
2022-12-09 06:48,Sachin-Jigar,Apna Bana Le,261702
2022-12-09 07:06,Mithoon,Fitoor,291757
2022-12-09 12:03,Anurag Kulkarni,"Ranjithame (From ""Vaarasudu"") [Telugu]",1485
2022-12-09 12:03,Enrique Iglesias,Heart Attack,3774
2022-12-09 12:07,Thaman S,Jai Balayya Mass Anthem,426
2022-12-09 12:07,Devi Sri Prasad,Boss Party,198805
2022-12-09 12:10,Leon James,Almost Padipoyindhe Pilla,213242
2022-12-09 12:14,Post Malone,I Like You (A Happier Song) (with Doja Cat),192840
2022-12-09 12:16,Stephen Sanchez,Until I Found You,177720
2022-12-09 12:19,benny blanco,Bad Decisions (with BTS & Snoop Dogg),172714
2022-12-09 12:23,Glass Animals,Heat Waves,238805
2022-12-09 12:27,Drake,Jimmy Cooks (feat. 21 Savage),218364
2022-12-09 12:29,Ellie Goulding,Easy Lover (feat. Big Sean),112123
2022-12-09 12:34,Anurag Kulkarni,"Ranjithame (From ""Vaarasudu"") [Telugu]",286627
2022-12-09 12:34,Bheems Ceciroleo,Dandakadiyal,5843
2022-12-09 17:05,Thalapathy Vijay,"Ranjithame (From ""Varisu"")",287080
2022-12-09 17:08,Ghibran,"Chilla Chilla (From ""Thunivu"")",222222
2022-12-09 17:13,Silambarasan TR,"Thee Thalapathy (From ""Varisu"")",258000
2022-12-10 07:30,One Direction,Live While We're Young,183317
2022-12-10 07:33,Ed Sheeran,Castle on the Hill,177791
2022-12-10 07:38,Dua Lipa,Break My Heart,221820
2022-12-10 07:41,Lauv,I Like Me Better,197436
2022-12-10 07:44,Sam Smith,Unholy (feat. Kim Petras),156943
2022-12-10 07:47,Ariana Grande,Stuck with U (with Justin Bieber),217308
2022-12-10 07:51,Selena Gomez,Lose You To Love Me,199594
2022-12-10 07:53,Ava Max,Kings & Queens,162398
2022-12-10 07:57,Taylor Swift,Wildest Dreams,220440
2022-12-10 08:01,Charlie Puth,Smells Like Me,204079
2022-12-10 08:06,Tanishk Bagchi,"Aap Jaisa Koi (From ""An Action Hero"")",2705
2022-12-10 10:02,Vijai Bulganin,Madhi Thalupunu Thelupaleka - Meet the Boy,210002
2022-12-10 10:08,Vijai Bulganin,Madhi Thalupunu Thelupaleka - Meet the Boy,79495
2022-12-10 10:10,Vishal Chandrashekhar,Yevarini Adaganu,148349
2022-12-10 10:11,Roshan Sebastian,Poovukkul Olindhirukkum - Jeans,30926
2022-12-10 10:14,Bharatt-Saurabh,"Vegam (From ""The Ghost"")",205546
2022-12-10 10:18,Dinker kalvala,Who Am I ?,243000
2022-12-10 10:21,Tanishk Bagchi,"Jehda Nasha (From ""An Action Hero"")",154869
2022-12-10 10:24,Thaman S,Jessica,200482
2022-12-10 10:28,King,Maan Meri Jaan,194653
2022-12-10 10:31,Nakash Aziz,"Current Laga Re (From ""Cirkus"")",148967
2022-12-10 10:34,Sid Sriram,Vennela Vennela,2622
2022-12-10 10:34,Santhosh Narayanan,Dhoom Dhaam,197790
2022-12-10 10:37,Vishal Chandrashekhar,Eppudo Ninnu,171250
2022-12-10 10:38,Anudeep Dev,"Megham Karigena (From ""Thiru"")",30000
2022-12-10 10:43,Thalapathy Vijay,"Ranjithame (From ""Varisu"")",287080
2022-12-10 10:47,Vishal Chandrashekhar,Inthandham,218808
2022-12-10 10:51,Pritam,"Kumkumala (From ""Brahmastra (Telugu)"")",278377
2022-12-10 10:55,Leon James,Gundellonaa,200113
2022-12-10 10:59,Yuvan Shankar Raja,"Ee Raathale (From ""Radhe Shyam"")",232762
2022-12-10 11:03,Anurag Kulkarni,Sirivennela,253595
2022-12-10 11:06,Thaman S,Kalaavathi,214657
2022-12-10 11:11,Spoorthi Jithender,Undipova,231971
2022-12-10 11:16,Harry Styles,As It Was,1213
2022-12-10 11:25,Shekar Chandra,Baguntundhi Nuvvu Navvithe,162991
2022-12-11 07:22,Dikshant,Aankhon Se Batana,6336
2022-12-11 09:45,Dikshant,Aankhon Se Batana,221271
2022-12-11 09:48,Anumita Nadesan,Khwaab,178421
2022-12-11 09:53,Mitraz,Muskurahat,258716
2022-12-11 10:07,Zariya,Khoya,154991
2022-12-11 19:17,Tanishk Bagchi,Kalalo Kooda,3700
2022-12-11 19:17,Dikshant,Aankhon Se Batana,210669
2022-12-11 19:20,Dikshant,Zindagi,188410
2022-12-11 19:24,Anuv Jain,Baarishein,207309
2022-12-11 19:30,MM Sreelekha,Urike Urike,273470
2022-12-11 19:39,Vijai Bulganin,Madhi Thalupunu Thelupaleka - Meet the Boy,259950
2022-12-11 19:42,Leon James,Almost Padipoyindhe Pilla,213242
2022-12-11 19:47,Anurag Kulkarni,"Ranjithame (From ""Vaarasudu"") [Telugu]",286627
2022-12-11 19:47,Kala Bhairava,"Panchathantram Title Song (From ""Panchathantram"")",1660
2022-12-11 19:47,Leon James,Gundellonaa,900
2022-12-11 19:47,Bheems Ceciroleo,Dandakadiyal,9870
2022-12-11 19:47,Vijai Bulganin,Madhi Thalupunu Thelupaleka - Meet the Boy,580
2022-12-11 19:51,Shahid Mallya,"Nee Kalle Diwali (From ""Gaalodu"")",234494
