endTime,artistName,trackName,msPlayed
2022-10-03 17:56,Coldplay,Yellow,184867
2022-10-05 20:04,The Lavendaire Lifestyle,202: Maya Lee on Planning Ahead While Staying Present,14600
2022-10-06 17:56,ANDREAH,Best Friend,204921
2022-10-06 17:59,Alec Benjamin,Older,164396
2022-10-06 18:02,Olivia Rodrigo,good 4 u,178146
2022-10-06 18:05,Lauv,Who (feat. BTS),180413
2022-10-06 18:08,Alec Benjamin,The Way You Felt,182810
2022-10-06 18:10,Anne-Marie,Our Song,163733
2022-10-06 18:14,Demi Lovato,Heart Attack,210840
2022-10-06 18:17,Billie Eilish,lovely (with Khalid),201866
2022-10-06 18:24,Charlie Puth,We Don't Talk Anymore (feat. Selena Gomez),217706
2022-10-06 18:27,Johnny Orlando,It’s Alright - From The Netflix Film My Little Pony: A New Generation,187237
2022-10-06 18:30,Olivia Rodrigo,"Granted - From ""High School Musical: The Musical: The Series (Season 2)""",154040
2022-10-06 18:31,James Arthur,Rewrite The Stars (with James Arthur & Anne-Marie),98946
2022-10-06 18:34,Becky Hill,My Heart Goes (La Di Da),148960
2022-10-06 18:38,Joshua Bassett,Set Me Free,242733
2022-10-06 18:41,Tesher,Jalebi Baby,189375
2022-10-06 18:43,Sam Smith,Diamonds,101209
2022-10-06 18:47,Boyce Avenue,One,256195
2022-10-06 18:50,Jonas Brothers,Sucker,181026
2022-10-06 18:51,Boyce Avenue,Demons,69422
2022-10-06 18:54,Marshmello,Here With Me,156346
2022-10-06 18:59,Adele,Hello,295502
2022-10-06 19:02,Charlie Puth,Light Switch,187703
2022-10-06 19:04,Olivia Rodrigo,Start of Something New - Nini Version,101176
2022-10-06 19:07,Stephen Sanchez,Until I Found You (with Em Beihold) - Em Beihold Version,176440
2022-10-06 19:10,Jennel Garcia,I Wanna Dance With Somebody (Who Loves Me),195454
2022-10-07 07:25,Taylor Swift,Bad Blood,1844
2022-10-07 07:25,Jennel Garcia,I Wanna Dance With Somebody (Who Loves Me),5293
2022-10-07 07:25,Armaan Malik,You,1875
2022-10-07 07:28,Armaan Malik,You,194477
2022-10-07 07:31,Taylor Swift,Bad Blood,211933
2022-10-07 07:35,Ariana Grande,Just Look Up (From Don’t Look Up),201667
2022-10-07 07:47,Camila Cabello,Easy,127985
2022-10-07 07:54,Camila Cabello,Easy,66819
2022-10-07 07:58,Noah Kahan,False Confidence,223400
2022-10-07 08:02,Wiz Khalifa,See You Again (feat. Charlie Puth),229525
2022-10-07 08:06,Avanti Nagral,Give Up,248320
2022-10-07 08:10,Jennel Garcia,Chandelier,222857
2022-10-07 08:15,Leroy Sanchez,Stay For A While,237699
2022-10-07 08:18,Shawn Mendes,Monster (Shawn Mendes & Justin Bieber),178994
2022-10-07 08:29,Alan Walker,Faded,26701
2022-10-07 09:03,Alan Walker,Faded,1784
2022-10-07 09:07,Doja Cat,Kiss Me More (feat. SZA),208666
2022-10-07 09:08,Camila Cabello,Million To One (Reprise),75030
2022-10-07 09:13,Marius de Vries,It's All Music,222506
2022-10-07 09:16,Leroy Sanchez,Beauty and the Beast,231527
2022-10-07 09:23,Cast of Descendants: The Royal Wedding,"Feeling the Love - From ""Descendants: The Royal Wedding""",1779
2022-10-07 09:23,Anne-Marie,Kiss My (Uh Oh),1322
2022-10-07 09:23,Camila Cabello,"Million To One - from the Amazon Original Movie ""Cinderella""",776
2022-10-07 09:23,Madilyn Bailey,When I Was Your Man (Female Version When You Were My Man),4531
2022-10-07 09:33,Selena Gomez,Feel Me,104960
2022-10-07 09:44,Joshua Bassett,Secret,29724
2022-10-07 10:57,Lenka,Everything at Once,157600
2022-10-09 07:00,Billie Eilish,watch,54720
2022-10-09 13:06,Mohammed Irfan,Banjaara,336567
2022-10-09 13:12,Mustafa Zahid,Zaroorat,368852
2022-10-09 13:14,Adnan Dhool,Awari,110921
2022-10-09 13:19,Arijit Singh,Humdard,260590
2022-10-09 13:23,Shraddha Kapoor,Galliyan (Unplugged),254750
2022-10-09 13:28,Anuv Jain,Baarishein,207309
2022-10-09 13:28,Anne-Marie,Our Song,7926
2022-10-09 13:32,Jennel Garcia,Sex on Fire,19668
2022-10-09 13:32,Ariana Grande,Side To Side,226160
2022-10-09 13:36,Camila Cabello,First Man,228758
2022-10-09 13:39,Frankie Rodriguez,In a Heartbeat,181241
2022-10-09 13:42,Gamma Skies,Love out Loud,195548
2022-10-09 13:45,Shawn Mendes,Summer of Love (Shawn Mendes & Tainy),184104
2022-10-09 13:49,Jennel Garcia,Never Enough,198217
2022-10-09 13:52,Adele,Easy On Me,224694
2022-10-09 13:56,Ariana Grande,Stuck with U (with Justin Bieber),228482
2022-10-09 14:01,Taylor Swift,Cornelia Street - Live From Paris,296013
2022-10-09 14:04,Johnny Orlando,someone will love you better,171213
2022-10-09 14:08,Dua Lipa,IDGAF,217946
