endTime,artistName,trackName,msPlayed
2021-09-25 18:12,Armaan Malik,Buttabomma,287677
2021-09-26 06:00,Kalabhavan Mani,Odenda Odenda,199773
2021-09-26 06:02,Kalabhavan Mani,Chalakudi,28240
2021-09-26 06:03,Kalabhavan Mani,Poomanakum Poonkavanam,1050
2021-09-26 06:03,Kalabhavan Mani,Kannimaanga Praayathil,37010
2021-09-26 06:03,Kalabhavan Mani,Pambai Nadiyorathil,2340
2021-09-26 06:03,Kalabhavan Mani,Anpumalarthano,18590
2021-09-26 06:04,R. L. V. Ramakrishnan,Chalakudi Chanthakkupokumbol,73160
2021-09-26 06:09,Madhu Balakrishnan,Kuttanadan,283186
2021-09-26 06:12,Kalabhavan Mani,Odenda Odenda,208875
2021-09-26 06:19,Kalabhavan Mani,Umbaayi Kuchaandu,374900
2021-09-26 06:22,Kalabhavan Mani,Umbaayi Kuchaandu,222777
2021-09-26 06:28,Kalabhavan Mani,Minnaaminungee,328333
2021-09-26 06:32,Kalabhavan Mani,Aa Parali,261224
2021-09-26 06:33,Kalabhavan Mani,Kai Kottu Penne,43662
2021-09-26 06:37,Anirudh Ravichander,"Sodakku (From ""Thaanaa Serndha Koottam"")",238913
2021-09-26 06:41,Hiphop Tamizha,Sakkarakatti,18686
2021-09-26 06:41,Yuvan Shankar Raja,Yedho Ondru Ennai,213520
2021-09-26 06:44,Karthik,"Kadavule Pole - From ""Lucifer""",195789
2021-09-26 06:45,Dhibu Ninan Thomas,Oonjala Oonjala,65130
2021-09-26 06:50,Yuvan Shankar Raja,Kadhal Aasai,303750
2021-09-26 06:51,Hiphop Tamizha,"Vengamavan - From ""Natpe Thunai""",57030
2021-09-26 06:53,Vishnu Vijay,Virinja Poonkurunne,78889
2021-09-26 06:56,Vishnu Vijay,Gabriyelinte,215892
2021-09-26 07:00,Vishnu Vijay,Athiraliyum,253684
2021-09-26 12:54,Vishnu Vijay,Thira Thira,28883
2021-09-27 04:48,Sid Sriram,Samajavaragamana,180810
2021-09-27 04:52,Backstreet Boys,I Want It That Way,213306
2021-09-27 04:55,Backstreet Boys,I Want It That Way,208399
2021-09-27 13:48,Backstreet Boys,I Want It That Way,29320
2021-09-27 14:59,Backstreet Boys,I Want It That Way,183987
2021-09-27 15:08,Backstreet Boys,I Want It That Way,1232
2021-09-27 16:53,Dhee,Enjoy Enjaami,279500
2021-09-27 16:54,Dhee,Enjoy Enjaami,11760
2021-09-27 16:57,Kalabhavan Mani,Umbaayi Kuchaandu,224992
2021-09-27 17:01,Kalabhavan Mani,Umbaayi Kuchaandu,210197
2021-09-27 17:04,Kalabhavan Mani,Odenda Odenda,208875
2021-09-27 17:11,Kalabhavan Mani,Umbaayi Kuchaandu,92694
2021-09-27 17:14,Backstreet Boys,I Want It That Way,212156
2021-09-27 17:18,Backstreet Boys,I Want It That Way,423
2021-09-27 17:18,Backstreet Boys,I Want It That Way,213306
2021-09-27 17:21,Anirudh Ravichander,Don'u Don'u Don'u - The Don's Romance,195709
2021-09-27 17:25,Anirudh Ravichander,Oru Vidha Aasai - The Temptation of Maari,4945
2021-09-27 17:25,Anirudh Ravichander,Maari Thara Local - Here Comes Maari,230252
2021-09-27 17:29,Sunil Mathai,Bachelor Life,252640
2021-09-27 17:33,Shreya Ghoshal,Karmukilin,261043
2021-09-27 17:39,Ramya Nambessan,Vijana Surabhi,272216
2021-09-27 17:43,物語シリーズ,恋愛サーキュレーション,255040
2021-09-27 17:47,物語シリーズ,恋愛サーキュレーション,255040
2021-09-27 17:51,物語シリーズ,恋愛サーキュレーション,255040
2021-09-27 19:05,C. J. Kuttappan,Kappa Kappa,239800
2021-09-27 19:50,Thaman S,Mangalyam,375325
2021-09-27 21:33,Thaman S,Mangalyam,260698
2021-09-27 21:37,Thaman S,Mangalyam,260698
2021-09-27 21:42,Thaman S,Mangalyam,260698
2021-09-27 21:42,Thaman S,Mangalyam,0
2021-09-27 21:45,NKOHA,Anguish of Heartache,187768
2021-09-27 21:50,Bamf,Shirohae,308500
2021-09-27 21:53,Paul Rückert,Yamagsumi,191947
2021-09-27 21:57,RŮDE,Eternal Youth,205766
2021-09-28 05:47,Bird Of Pray,"Despair (From ""Naruto Shippuuden"") - Instrumental",13948
2021-09-28 05:52,Thaman S,Mangalyam,301952
2021-09-28 05:56,Thaman S,Mangalyam,228025
2021-09-28 05:58,Vishnu Vijay,Thira Thira,121704
2021-09-28 07:07,Thaman S,Mangalyam,260698
2021-09-28 07:15,Thaman S,Mangalyam,456373
2021-09-28 20:53,Thaman S,Mangalyam,259258
2021-09-28 20:58,Thaman S,Mangalyam,260698
2021-09-28 21:02,Thaman S,Mangalyam,260698
2021-09-28 21:17,Thaman S,Mangalyam,8485
2021-09-29 08:23,Thaman S,Mangalyam,252619
2021-09-29 08:27,Thaman S,Mangalyam,248635
2021-09-29 09:34,Anirudh Ravichander,Don'u Don'u Don'u - The Don's Romance,195709
2021-09-29 09:35,Anirudh Ravichander,Thappa Dhaan Theriyum - Maari's Karuthu,1864
2021-09-29 09:35,Anirudh Ravichander,The Maari Swag,30753
2021-09-30 03:50,Thaman S,Mangalyam,257901
2021-10-01 10:18,Thaman S,Mangalyam,260698
2021-10-01 10:22,Thaman S,Mangalyam,260698
2021-10-01 10:45,Thaman S,Mangalyam,258763
2021-10-01 11:16,Vishnu Vijay,Thira Thira,218214
2021-10-01 11:20,Vishnu Vijay,Gabriyelinte,215892
2021-10-01 11:32,Vishnu Vijay,Virinja Poonkurunne,2492
2021-10-01 16:41,Vishnu Vijay,Virinja Poonkurunne,76808
2021-10-02 01:29,Sunil Mathai,Bachelor Life,252640
2021-10-02 01:33,C. J. Kuttappan,Kappa Kappa,246475
2021-10-02 01:38,Madhu Balakrishnan,Kuttanadan,283186
2021-10-02 01:38,Kalabhavan Mani,Panthalamannanu,7291
2021-10-02 01:43,Kalabhavan Mani,Odenda Odenda,320123
2021-10-02 07:21,Kalabhavan Mani,Umbaayi Kuchaandu,221307
2021-10-02 07:24,Anirudh Ravichander,Bagulu Odayum Dagulu Mari - The Return of Maari,6288
2021-10-02 07:24,Anirudh Ravichander,Don'u Don'u Don'u - The Don's Romance,195709
2021-10-02 07:28,Vishnu Vijay,Thaniye,10536
2021-10-02 07:28,Vishnu Vijay,Thira Thira,218214
2021-10-02 07:32,Roll Rida,OMG Daddy,5604
2021-10-02 07:32,Sid Sriram,Samajavaragamana,219818
2021-10-02 07:36,Sri Krishna,Ala Vaikunthapurramuloo,17576
2021-10-02 07:36,Shreya Ghoshal,Samajavaragamana - Female,10534
2021-10-02 07:36,Anurag Kulkarni,Ramuloo Ramulaa,245760
2021-10-02 07:40,Armaan Malik,Buttabomma,198782
2021-10-02 07:44,Sri Krishna,Ala Vaikunthapurramuloo,38437
2021-10-02 07:48,Hiphop Tamizha,Meesaya Murukku,222164
2021-10-02 08:03,Hiphop Tamizha,Meesaya Murukku,5135
2021-10-02 12:30,Hiphop Tamizha,Meesaya Murukku,217157
2021-10-02 12:34,Hiphop Tamizha,Meesaya Murukku,222164
2021-10-02 12:37,Hiphop Tamizha,Meesaya Murukku,222164
2021-10-02 12:50,Hiphop Tamizha,Meesaya Murukku,773
2021-10-02 13:43,Chamath Sangeeth,Manike Mage Hithe,162772
2021-10-02 13:45,Chamath Sangeeth,Manike Mage Hithe,161512
2021-10-02 18:00,Chamath Sangeeth,Manike Mage Hithe,2652
2021-10-02 18:00,Chamath Sangeeth,Manike Mage Hithe,1261
