endTime,artistName,trackName,msPlayed
2023-04-09 09:42,FIFTY FIFTY,Cupid - Twin Ver.,174231
2023-04-09 09:45,FIFTY FIFTY,Cupid,174027
2023-04-09 09:48,NewJeans,OMG,212035
2023-04-09 09:50,FIFTY FIFTY,Cupid,1070
2023-04-09 09:50,SZA,Kill Bill,137533
2023-04-09 09:53,FIFTY FIFTY,Cupid - Twin Ver.,174192
2023-04-09 10:05,FIFTY FIFTY,Cupid - Twin Ver.,174121
2023-04-10 14:22,Bull Beats,Cupid (Sped Up) - Remix,2875
2023-04-10 14:22,FIFTY FIFTY,Cupid - Twin Ver.,167639
2023-04-10 14:22,FIFTY FIFTY,Cupid - Twin Ver.,11112
2023-04-10 14:22,FIFTY FIFTY,Cupid - Twin Ver.,2315
2023-04-10 14:25,Xanemusic,Cupid Twin Version (Sped Up) - Remix,146075
2023-04-10 14:27,Xanemusic,Cupid Twin Version (Sped Up) - Remix,144806
2023-04-10 14:28,Xanemusic,Cupid Twin Version (Sped Up) - Remix,30030
2023-04-30 07:51,BLACKPINK,Typa Girl,0
2023-04-30 07:54,BLACKPINK,Typa Girl,178937
2023-04-30 07:57,FIFTY FIFTY,Cupid - Twin Ver.,174198
2023-04-30 09:25,The Weeknd,Die For You (with Ariana Grande) - Remix,2086
2023-04-30 09:25,The Weeknd,Die For You (with Ariana Grande) - Remix,31806
2023-04-30 09:25,BIBI,BIBI Vengeance,3091
2023-04-30 09:28,BLACKPINK,Typa Girl,178983
2023-04-30 09:31,The Weeknd,Die For You (with Ariana Grande) - Remix,22567
2023-04-30 09:31,FIFTY FIFTY,Cupid - Twin Ver.,174085
2023-04-30 09:33,Siddharth,Oy..Oy..,98326
2023-04-30 09:35,Siddharth,Oye Oye,94769
2023-04-30 09:40,A.R. Rahman,Dil Bechara,163258
2023-04-30 09:43,A.R. Rahman,Taare Ginn,134754
2023-04-30 09:47,Pritam,Khairiyat,269194
2023-04-30 09:50,"Richard, Ranina Reddy",Bhoome Gundramga,132369
2023-04-30 09:54,"Nikhil D'Souza, Neha Bhasin",Hello Hello,248538
2023-04-30 09:56,"Neeraj Sridhar, Sri Charan, Mega",Telugu Bengali,115479
2023-04-30 09:57,"Karthik, Priya Hemesh",Godava Godava,47981
2023-04-30 10:28,"Andrea, Kalyan",Diwali Deepaanni,90059
2023-04-30 10:33,"Jaspreet Jasz, Suchitra",Ey Pilla Pilla,272043
2023-05-01 14:02,The Weeknd,Die For You (with Ariana Grande) - Remix,206760
2023-05-01 14:02,Ramcharan,Panchadara Bomma,180171
2023-05-01 14:05,"Neeraj Sridhar, Sri Charan, Mega",Telugu Bengali,0
2023-05-01 14:06,"Neeraj Sridhar, Sri Charan, Mega",Telugu Bengali,21739
2023-05-01 14:12,"Jaspreet Jasz, Suchitra",Ey Pilla Pilla,272089
2023-05-01 14:12,Gopika Poornima,Aggipulla Lanti,17671
2023-05-01 14:17,"Jaspreet Jasz, Suchitra",Ey Pilla Pilla,272040
2023-05-01 14:17,Gopika Poornima,Aggipulla Lanti,33654
2023-05-01 14:18,Shankar Mahadevan,Kurrayeedu,408
