,Q1,Q2,Q5,Q6,Q8,Q9,Q10,Q11,Q16,Q17,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,TOTAL
P73,2,2,2,2,2,2,4,3,3,3,1,0,2,0,1,1,3,3,3,39
P74,0,1,0,0,0,0,1,0,0,1,1,2,0,0,1,1,1,1,1,11
P75,0,1,1,2,0,1,4,2,2,1,0,0,1,2,4,2,3,4,1,31
P76,0,1,1,1,1,3,2,2,1,2,1,2,1,1,2,2,1,2,2,28
P77,1,3,2,3,2,0,2,1,2,2,1,3,1,2,2,1,1,1,2,32
P78,1,1,2,1,2,1,3,2,2,1,1,2,2,2,2,3,2,2,4,36
P79,0,0,1,3,0,2,0,0,0,0,0,0,0,1,3,2,1,3,0,16
P80,0,1,3,3,1,1,3,4,4,4,1,2,1,1,3,2,1,2,3,40
P81,1,1,2,3,4,0,0,0,0,0,3,1,3,4,3,2,3,3,4,37
P82,3,3,3,1,1,0,1,3,3,2,1,2,1,2,2,2,2,2,2,36
P83,3,2,3,3,3,0,2,1,1,1,4,0,3,2,2,3,3,3,2,41
P84,0,0,0,1,1,0,2,3,2,1,0,2,0,1,4,4,4,4,4,33
P85,2,3,0,3,2,3,3,2,3,1,0,1,2,3,4,0,0,3,4,39
P86,0,3,0,1,1,3,1,2,3,4,3,1,1,0,1,1,2,1,2,30
P87,0,0,2,3,2,1,4,1,0,4,1,2,2,0,3,0,3,4,3,35
P88,1,2,1,2,1,0,1,0,0,0,1,3,1,1,0,0,0,3,3,20
P89,0,1,0,1,0,0,2,3,3,3,2,0,2,2,1,3,1,4,4,32
P90,3,2,1,4,3,2,0,0,0,0,1,1,2,2,0,1,0,1,2,25
P91,1,1,1,3,3,4,3,3,2,1,2,1,3,0,3,2,3,4,1,41
P92,3,0,0,4,2,0,3,0,4,4,1,0,4,4,4,4,0,4,4,45
P93,2,2,0,2,3,0,0,1,1,2,0,1,0,1,2,0,1,3,1,22
P94,0,0,1,2,0,4,1,1,1,0,1,1,0,1,2,1,2,1,3,22
P95,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,3,2,9
P96,1,1,0,2,0,1,2,0,1,2,1,1,2,1,0,2,2,0,0,19
P97,3,1,2,2,2,2,1,3,2,2,1,2,2,2,0,2,2,3,3,37
P98,2,1,3,4,3,0,0,1,0,0,2,1,1,3,2,0,2,1,2,28
P99,2,3,2,0,1,1,2,1,1,1,3,2,3,4,3,3,3,4,3,42
P100,1,1,1,0,1,1,1,1,1,1,0,1,1,0,2,1,2,1,1,18
P101,0,0,0,0,1,0,1,1,0,1,2,1,1,1,1,1,2,2,0,15
P102,2,2,1,1,1,0,0,0,0,0,1,1,1,1,1,0,4,3,2,21
P103,2,2,2,2,2,0,0,0,0,0,2,2,2,3,3,2,2,3,3,32
P104,2,3,2,2,2,3,2,2,2,2,4,3,2,2,2,2,2,2,2,43
P105,2,0,1,2,1,0,3,3,3,3,1,2,1,1,2,2,2,2,2,33
P106,0,1,0,1,1,0,2,0,0,1,2,2,1,2,3,3,2,3,3,27
P107,1,1,1,2,3,0,2,3,2,2,2,3,3,3,3,1,3,3,3,41
P108,2,1,2,0,3,0,1,1,1,0,2,0,1,2,2,2,3,3,1,27
P109,4,4,1,2,1,0,1,0,0,1,2,1,1,2,2,1,2,3,1,29
P110,4,3,1,3,2,3,1,1,2,2,2,2,2,2,2,1,1,3,2,39
P111,3,2,2,3,3,3,3,3,3,3,0,3,2,3,2,3,1,2,3,47
P112,1,0,2,3,1,1,1,2,1,1,1,1,1,2,2,1,1,2,1,25
P113,3,3,4,4,3,1,1,2,1,2,2,0,0,0,0,0,0,2,4,32
P114,4,2,0,4,0,0,0,1,0,0,1,1,2,1,4,4,3,1,2,30
P115,2,1,2,2,3,2,2,2,1,2,3,1,3,1,1,1,2,2,3,36
