,Q6,Q10,Q13,Q17,Q19,Q24,Q27,
p166,4,2,2,4,0,2,3,17
p167,3,1,3,4,1,3,1,16
p168,4,2,2,4,1,4,2,19
,2,1,1,0,1,2,3,10
,2,3,1,1,0,0,4,11
,0,1,4,1,1,2,3,12
,3,3,4,1,1,2,3,17
,2,0,1,1,1,2,1,8
,2,3,2,2,1,1,2,13
,2,1,3,2,2,1,1,12
,1,3,2,4,0,1,1,12
,1,1,3,1,2,1,3,12
,2,3,3,1,1,2,2,14
,1,2,2,2,2,2,3,14
,0,2,4,1,1,1,3,12
,0,3,4,2,1,2,3,15
,1,1,2,1,3,2,2,12
