endTime,artistName,trackName,msPlayed
2022-10-05 16:36,Yashal Shahid,Mere Humsafar (Original Score) [Female Version],84220
2022-10-05 16:42,Pritam,Saware,321613
2022-10-05 16:44,Arijit Singh,"Sooraj Dooba Hain (From ""Roy"")",49305
2022-10-05 16:49,Armaan Malik,Devare,235714
2022-10-05 16:49,Sunidhi Chauhan,Lae Dooba,25539
2022-10-05 16:53,Rekha Bhardwaj,Dori Tutt Gaiyaan,231211
2022-10-05 16:58,Pritam,Shayad,247941
2022-10-05 17:02,Pritam,Naina,225750
2022-10-05 17:08,Sonu Nigam,Bhagwaan Hai Kahan Re Tu,311053
2022-10-05 17:14,Pooja Tiwari,Koi Chand Rakh,303905
2022-10-05 17:14,Rahat Fateh Ali Khan,Aas Paas Khuda,9540
2022-10-05 17:19,Meet Bros Anjjan,Boss,288084
2022-10-05 17:23,Ajay-Atul,Zingaat,226501
2022-10-05 17:27,Darshan Raval,"Chogada (From ""Loveyatri"")",249741
2022-10-05 17:32,Armaan Malik,Sau Aasmaan,234737
2022-10-05 17:37,Pritam,Tu Mera Hero,291841
2022-10-05 17:38,Pritam,Ik Vaari Aa,12542
2022-10-05 17:42,Arijit Singh,Bandeya Rey Bandeya,254841
2022-10-05 17:44,Pritam,"Hawayein (From ""Jab Harry Met Sejal"")",41899
2022-10-06 05:23,Pritam,"Hawayein (From ""Jab Harry Met Sejal"")",248152
2022-10-06 05:27,Pritam,Tu Jo Mila,242864
2022-10-06 05:32,Jawad Ahmad,"Samjhawan (Unplugged by Alia Bhatt) [From ""Humpty Sharma Ki Dulhania""]",215611
2022-10-06 05:35,Lijo George,"Kamariya - Remix By DJ Akhil Talreja (From ""Mitron"")",210206
2022-10-06 05:40,Palak Muchhal,Kaun Tujhe,241448
2022-10-06 05:46,Pritam,Ghar More Pardesiya,319635
2022-10-06 05:50,Benny Dayal,Get Ready To Fight,204741
2022-10-06 05:52,Armaan Malik,Besabriyaan,116766
2022-10-06 09:02,Armaan Malik,Besabriyaan,139015
2022-10-06 09:08,Ajay-Atul,Brothers Anthem,353676
2022-10-06 09:12,Daler Mehndi,Jagga Jiteya,191489
2022-10-06 09:15,Imagine Dragons,Believer,204346
2022-10-06 09:22,Sukhwinder Singh,"Kar Har Maidaan Fateh (From ""Sanju"")",312157
2022-10-06 09:27,Arijit Singh,Raat Bhar,325581
2022-10-06 09:36,Akhil Sachdeva,Tera Ban Jaunga,126284
2022-10-09 16:34,Rashid Khan,Aaoge Jab Tum,355065
2022-10-09 16:34,Jasleen Royal,Kho Gaye Hum Kahan,6711
2022-10-09 16:40,Rahat Fateh Ali Khan,Jag Soona Soona Lage,329429
2022-10-09 16:43,Pritam,Jiyein Kyun,17977
2022-10-09 16:43,Shekhar Ravjiani,Gehra Ishq,206796
2022-10-09 16:47,Darshan Raval,Asal Mein,224240
2022-10-09 16:50,Pritam,Channa Mereya - Unplugged,165333
2022-10-09 16:54,Pritam,Shayad,12744
2022-10-09 16:54,Vishal Dadlani,Jee Le Zaraa,215202
2022-10-09 16:59,Asim Azhar,Ghalat Fehmi,286007
2022-10-09 17:01,Arjun Kanungo,Aaya Na Tu,36876
2022-10-09 17:08,Pritam,Tune Jo Na Kaha,310073
2022-10-09 17:13,Arijit Singh,"Roke Na Ruke Naina (From ""Badrinath Ki Dulhania"")",278401
2022-10-09 17:14,Mohit Chauhan,Tujhe Bhula Diya,16138
2022-10-09 17:15,Mohit Chauhan,Dooriyan,8813
2022-10-09 17:19,Asim Azhar,Jo Tu Na Mila,234037
2022-10-09 17:23,Vishal Mishra,"Nai Lagda (From ""Notebook"")",287106
2022-10-09 17:25,A.R. Rahman,Rihaayi De,34492
2022-10-09 17:26,Amit Trivedi,Dhak Dhuk,21528
2022-10-09 17:26,Shankar-Ehsaan-Loy,Noor E Khuda,6473
2022-10-09 17:31,Amitabh Bhattacharya,Tera Rastaa Chhodoon Na,252963
2022-10-09 17:36,Arijit Singh,Wafa Ne Bewafai,320040
2022-10-09 17:37,Arijit Singh,Main Dhoondne Ko Zamaane Mein,14486
2022-10-09 17:38,Mohit Chauhan,Tum Ho,11711
2022-10-09 17:38,A.R. Rahman,Kun Faya Kun,1529
2022-10-09 17:41,Arijit Singh,"Humdard (From ""Ek Villain"")",194682
2022-10-12 16:29,Rashid Khan,Aaoge Jab Tum,355065
2022-10-12 16:30,Jasleen Royal,Kho Gaye Hum Kahan,23139
2022-10-12 16:34,Atif Aslam,Allah Duhai Hai,255239
