endTime,artistName,trackName,msPlayed
2022-10-04 16:55,Zack Knight,Bom Diggy Diggy,2111
2022-10-05 04:25,The Weeknd,Is There Someone Else?,199111
2022-10-05 04:29,The Weeknd,I Was Never There,241066
2022-10-05 04:33,Ariana Grande,Love Me Harder,236133
2022-10-05 04:37,Gesaffelstein,Lost in the Fire (feat. The Weeknd),202093
2022-10-05 04:40,Doja Cat,You Right,186173
2022-10-05 04:43,Taylor Swift,Afterglow,223293
2022-10-05 04:46,The Weeknd,Often,141260
2022-10-05 06:28,Catie Turner,Home,7340
2022-10-05 06:40,Catie Turner,Home,54210
2022-10-06 04:14,Catie Turner,Home,1144
2022-10-06 04:15,The Weeknd,Can't Feel My Face,30676
2022-10-06 04:15,The Weeknd,Is There Someone Else?,5811
2022-10-06 04:16,Gesaffelstein,Lost in the Fire (feat. The Weeknd),20782
2022-10-06 04:19,The Weeknd,Can't Feel My Face,213520
2022-10-06 04:23,Doja Cat,You Right,182009
2022-10-06 04:27,The Weeknd,Starboy,230453
2022-10-06 04:31,Ariana Grande,Love Me Harder,236133
2022-10-06 04:35,Maroon 5,Animals,231013
2022-10-06 04:39,Shawn Mendes,I Know What You Did Last Summer,223853
2022-10-06 04:46,Swedish House Mafia,Moth To A Flame (with The Weeknd),68182
2022-10-06 06:14,One Direction,You & I,18760
2022-10-06 10:42,One Direction,You & I,13500
2022-10-06 10:47,Christina Perri,A Thousand Years,285120
2022-10-06 10:50,Oskar Cyms,My Girl,178295
2022-10-06 10:53,Taylor Swift,Cruel Summer,178426
2022-10-06 10:58,Ariana Grande,Love Me Harder,212771
2022-10-06 11:24,Ariana Grande,Love Me Harder,4043
2022-10-06 11:28,Ariana Grande,Love Me Harder,19664
2022-10-06 11:32,Alexander 23,IDK You Yet,78111
2022-10-06 13:15,Alexander 23,IDK You Yet,1808
2022-10-06 13:19,Julia Michaels,Heaven,191786
2022-10-06 13:22,Bishop Briggs,River,216133
2022-10-06 13:26,Ruth B.,Dandelions,233720
2022-10-06 13:30,The Weeknd,Call Out My Name,228373
2022-10-06 13:34,Hailee Steinfeld,Capital Letters,219373
2022-10-06 13:37,Julia Michaels,What A Time (feat. Niall Horan),173306
2022-10-06 13:41,Chase Atlantic,Into It,34297
2022-10-06 13:41,Ariana Grande,Dangerous Woman,235946
2022-10-06 13:44,Katy Perry,Harleys In Hawaii,185480
2022-10-06 13:47,Lauv,Who (feat. BTS),180413
2022-10-06 14:09,Julia Michaels,Heaven,64739
2022-10-06 14:30,Julia Michaels,Heaven,14953
2022-10-06 14:40,Julia Michaels,Heaven,4149
2022-10-07 04:33,The Weeknd,After Hours,361026
2022-10-07 04:36,Sam Smith,Like I Can,167065
2022-10-07 04:37,Sam Smith,Like I Can,36165
2022-10-07 04:38,Sam Smith,Like I Can,19969
2022-10-07 04:44,Civil Twilight,Letters From The Sky,186697
2022-10-07 11:12,Civil Twilight,Letters From The Sky,88411
2022-10-07 11:17,Civil Twilight,Story Of An Immigrant,276600
2022-10-07 11:21,Andrew Belle,Pieces,116000
2022-10-07 11:25,Civil Twilight,Story Of An Immigrant,9262
2022-10-07 11:25,Andrew Belle,Pieces,517
2022-10-07 11:30,Ruth B.,Dandelions,168438
2022-10-07 12:22,Ruth B.,Dandelions,66095
2022-10-07 12:25,dhruv,double take,171743
2022-10-07 12:27,Taylor Swift,The Way I Loved You (Taylor’s Version),36478
2022-10-07 12:43,Bruno Mars,It Will Rain,257720
2022-10-07 12:49,The Weeknd,Angel,252739
2022-10-07 14:35,The Weeknd,Angel,124608
2022-10-07 14:39,Ariana Grande,Love Me Harder,236133
2022-10-07 14:43,Ruth B.,Dandelions,233720
2022-10-07 14:48,ZAYN,PILLOWTALK,202746
2022-10-07 14:54,Troye Sivan,Strawberries & Cigarettes,172392
2022-10-07 15:02,Troye Sivan,Strawberries & Cigarettes,751
2022-10-07 15:37,Troye Sivan,Strawberries & Cigarettes,1956
2022-10-07 15:41,BRKN RBTZ,Marry Your Daughter,226064
2022-10-07 15:46,The Weeknd,Die For You,260253
