endTime,artistName,trackName,msPlayed
2021-09-29 03:36,James Henry Jr.,Take Me Down Easy,248616
2021-09-29 03:39,Atif Aslam,Tera Hone Laga Hoon,1860
2021-09-29 03:39,Catherine Feeny,Mr Blue - Radio Mix,182266
2021-09-29 03:39,The Midnight,Los Angeles,31460
2021-09-29 03:42,Nusrat Fateh Ali Khan,Mere Rashke Qamar,143000
2021-09-29 03:46,Rochak Kohli,Mitti Di Khushboo,247222
2021-09-29 03:50,Amitabh Bhattacharya,Ankahee,275454
2021-09-29 03:55,Asim Azhar,"Ghalat Fehmi - From ""Superstar""",286007
2021-09-29 04:09,Mohit Chauhan,Tujhe Bhula Diya,153757
2021-09-29 04:57,Mohit Chauhan,Tujhe Bhula Diya,125973
2021-09-29 05:01,Arijit Singh,Yeh Fitoor Mera,237843
2021-09-29 05:01,Mohit Chauhan,Tujhe Bhula Diya,23
2021-09-29 05:09,A.R. Rahman,Kun Faya Kun,470500
2021-09-29 05:10,Ayushmann Khurrana,"Pani Da Rang Male (From ""Vicky Donor"")",31788
2021-09-29 05:35,A.R. Rahman,Nadaan Parinde,253280
2021-09-29 10:37,Prateek Kuhad,Kahaan Ho Tum,155289
2021-09-29 10:43,Amitabh Bhattacharya,Ankahee,53714
2021-09-29 10:43,Vishal-Shekhar,"Ghungroo (From ""War"")",302935
2021-09-29 10:48,Mohit Chauhan,Tujhe Bhula Diya,279429
2021-09-29 10:53,Ankur Tewari,"Dil Beparvah - The Dewarists, Season 5",268518
2021-09-29 10:54,Alyssa Mendonsa,Khaabon Ke Parinday,52273
2021-09-29 10:56,Shankar Mahadevan,Aave Re Hitchki Unplugged,46494
2021-09-29 10:56,Amit Trivedi,Zinda,2306
2021-09-29 11:01,Shankar Mahadevan,Aave Re Hitchki Unplugged,300315
2021-09-29 11:06,Amit Trivedi,Zinda,289436
2021-09-29 11:12,Monali Thakur,Sawaaar Loon Unplugged,313678
2021-09-29 11:15,Amit Trivedi,London Thumkda Unplugged,108148
2021-09-29 11:15,Shankar-Ehsaan-Loy,Bol Na Halke Halke,0
2021-09-29 11:19,Pritam,Badtameez Dil,18080
2021-09-29 11:19,Lehmber Hussainpuri,Sadi Gali,264900
2021-09-29 11:22,Pritam,Ghagra,159820
2021-09-29 11:26,Asha Bhosle,Hungamaa Ho Gaya,271586
2021-09-29 11:31,Vishal-Shekhar,Punjabi Wedding Song,212034
2021-09-29 11:43,Pritam,Subha Hone Na De,60480
2021-09-29 17:29,Pritam,Kyon,266053
2021-09-29 17:33,Arko,Nazm Nazm,226941
2021-09-29 17:36,Amit Trivedi,Naina Da Kya Kasoor,210951
2021-09-29 17:40,Arko,Meherbani,243591
2021-09-29 17:54,Pritam,Raabta,243578
2021-09-29 17:59,Pritam,Ik Vaari Aa,274687
2021-09-29 18:02,Falak Shabbir,Mera Mann Kehne Laga,227334
2021-09-29 18:07,Ankur Tewari,"Dil Beparvah - The Dewarists, Season 5",250000
2021-09-29 18:24,Arijit Singh,Har Kisi Ko,169101
