endTime,artistName,trackName,msPlayed
2021-10-07 11:54,Koda,The Last Stand,237183
2021-10-07 13:26,Enigma,The Story Of 'Sadeness (Part II)',53340
2021-10-08 04:07,Enigma,The Story Of 'Sadeness (Part II)',6780
2021-10-08 04:12,Enigma,Return To Innocence,255466
2021-10-08 04:17,Enigma,Mea Culpa,301333
2021-10-08 04:22,Enigma,The Child In Us,306066
2021-10-08 04:27,Enigma,Amen,293386
2021-10-08 04:31,Enigma,Gravity Of Love,238760
2021-10-08 04:35,Enigma,Sadeness - Pt. 1 / Radio Edit,260400
2021-10-08 04:40,Enigma,Callas Went Away,269373
2021-10-08 05:16,Enigma,Principles Of Lust: Sadeness / Find Love / Sadeness (Reprise),703133
2021-10-08 05:20,Enigma,Modern Crusaders,230600
2021-10-08 05:25,Enigma,Why!...,299373
2021-10-08 05:27,Enigma,Circle Eight,138213
2021-10-08 05:33,Enigma,The Omega Point,339453
2021-10-08 05:36,Enigma,Diving,172000
2021-10-08 05:37,Enigma,The Die Is Cast,98430
2021-10-08 05:42,Enigma,Beyond The Invisible,300026
2021-10-08 05:47,Enigma,Why!...,299373
2021-10-08 05:52,Enigma,Shadows In Silence,261200
2021-10-08 05:57,Enigma,The Child In Us,306066
2021-10-08 06:19,Enigma,T.N.T. For The Brain,266066
2021-10-08 06:22,Enigma,Almost Full Moon,206226
2021-10-08 06:26,Enigma,The Roundabout,218506
2021-10-08 06:31,Enigma,Prism Of Life,295160
2021-10-08 06:32,Enigma,Odyssey Of The Mind,100906
2021-10-08 06:35,Enigma,Second Chapter,135293
2021-10-08 06:42,Enigma,The Eyes Of Truth,434506
2021-10-08 06:46,Enigma,Return To Innocence,255466
2021-10-08 07:24,Enigma,I Love You... I'll Kill You,532560
2021-10-08 07:30,Enigma,Silent Warrior,369773
2021-10-08 07:33,Enigma,The Dream Of The Dolphin,167369
2021-10-08 07:38,Enigma,Age Of Loneliness (Carly's Song),321493
2021-10-08 07:44,Enigma,Out From The Deep,293106
2021-10-08 07:47,Enigma,The Cross Of Changes,144400
2021-10-08 07:49,Enigma,The Voice Of Enigma,141455
2021-10-08 07:57,Enigma,Principles Of Lust: Sadeness / Find Love / Sadeness (Reprise),492801
2021-10-08 07:58,Secret Garden,Song From A Secret Garden,28220
2021-10-08 07:59,Karunesh,Dervish Dream,45750
2021-10-08 08:02,K Motionz,High Note,225862
2021-10-08 08:06,Mefjus,Sientelo,234527
2021-10-08 08:11,Omami,Lonely Road,263142
2021-10-08 08:16,UNKLE,Unreal,308373
2021-10-08 08:30,DJ Shadow,What Does Your Soul Look Like - Pt. 2,831400
2021-10-08 08:35,Howie B.,Five Days,322200
2021-10-08 09:15,DJ Krush,Kemuri,290013
2021-10-08 09:20,Boards of Canada,Dayvan Cowboy,300186
2021-10-08 09:23,Drips Zacheer,Bioluminescence,182475
2021-10-08 09:30,Red Snapper,Crusoe Takes a Trip,399626
2021-10-08 09:37,Funki Porcini,B Monkey,441866
2021-10-08 09:42,Terranova,Tokyo Tower (Avenue A Remix),309720
2021-10-08 09:48,Patrick Pulsinger,City Lights - City of Starsigns,358573
2021-10-08 09:53,DJ Shadow,Midnight In A Perfect World,298373
2021-10-08 09:59,Air,Modular Mix,359600
2021-10-08 10:07,UNKLE,Lonely Soul,469658
2021-10-08 10:12,DJ Krush,Song 2,299240
2021-10-08 10:19,Boards of Canada,Everything You Do Is A Balloon,423933
2021-10-08 10:26,DJ Shadow,Building Steam With A Grain Of Salt,399026
2021-10-08 10:32,DJ Spooky,Galactic Funk,367786
2021-10-08 10:36,Funki Porcini,Long Road,241760
2021-10-08 10:40,Depth Charge,Legend of the Golden Snake - Single Version,266693
2021-10-08 10:47,Major Force West E.M.S. Orchestra,Mugen - In the Morning,384960
2021-10-08 10:49,Boards of Canada,Roygbiv,151520
2021-10-08 10:50,Artemis,Silver Dawn,52600
2021-10-08 12:46,Koda,The Last Stand,15132
2021-10-08 12:51,Max Cooper,Resynthesis 3D (Binaural Version - Headphones Only),296250
2021-10-08 12:55,Crooked Still,Ecstasy (Instrumental Edit),222127
2021-10-08 12:58,Andy Leech,Alchemy,192000
2021-10-08 13:11,Andy Leech,Issey,219428
2021-10-08 13:15,Post Malone,rockstar (feat. 21 Savage),218146
2021-10-08 13:17,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,142410
2021-10-08 15:12,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,15633
2021-10-08 15:18,Post Malone,Otherside,228226
2021-10-08 15:21,Koda,The Last Stand,208866
2021-10-08 15:27,Koda,The Last Stand,314442
2021-10-08 15:31,The Shanghai Restoration Project,Nanking Road - Instrumental,220173
2021-10-08 15:32,Massive Attack,Girl I Love You,6898
2021-10-08 15:33,Andy Leech,Alchemy,121
2021-10-08 15:33,The Shanghai Restoration Project,Nanking Road - Instrumental,0
2021-10-08 15:33,Massive Attack,Girl I Love You,23
2021-10-08 15:33,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,0
2021-10-08 15:33,Andy Leech,Issey,0
2021-10-08 15:33,UNKLE,In A Sunrise,77167
2021-10-08 15:33,Post Malone,Otherside,0
2021-10-08 15:33,Crooked Still,Ecstasy (Instrumental Edit),0
2021-10-08 15:33,Post Malone,rockstar (feat. 21 Savage),0
2021-10-08 15:33,Koda,The Last Stand,232
2021-10-08 15:38,Max Cooper,Resynthesis 3D (Binaural Version - Headphones Only),298842
2021-10-08 15:42,Crooked Still,Ecstasy (Instrumental Edit),222127
2021-10-08 15:45,Andy Leech,Alchemy,192000
2021-10-08 15:49,Andy Leech,Issey,219428
2021-10-08 15:52,Post Malone,rockstar (feat. 21 Savage),218146
2021-10-08 15:55,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,158040
2021-10-08 15:59,Post Malone,Otherside,228226
2021-10-08 16:13,Creep Crawl Flash,At Bay,3568
2021-10-08 16:13,Creep Crawl Flash,Kadinchey (Remix) [Pogo],2190
2021-10-08 16:13,The Shanghai Restoration Project,Nanking Road - Instrumental,1763
2021-10-08 16:13,Massive Attack,Girl I Love You,2490
2021-10-08 16:13,Antimatter,Conspire,3055
2021-10-08 16:13,M|O|O|N,Dust,4589
2021-10-08 16:13,trentemøller,No One Quite Like You,1549
2021-10-08 16:13,Green Carnation,Solitude,5544
2021-10-08 16:13,UNKLE,In A Sunrise,2824
2021-10-08 16:13,Crywolf,"QUIXOTE [i am alone, and they are everyone]",1411
2021-10-08 16:13,Koda,The Last Stand,524750
2021-10-08 16:13,Mr FijiWiji,Iris,3502
2021-10-08 16:18,Slipknot,Circle,262986
2021-10-08 16:21,Nomyn,Beyond,207072
2021-10-08 16:25,Nomyn,Fragments,226742
2021-10-08 16:26,The Best Pessimist,Above the Fog (Pt.2),68687
2021-10-09 03:59,Artemis,Silver Dawn,289915
2021-10-09 04:04,Kruder & Dorfmeister,Johnson,338706
2021-10-09 04:09,Boards of Canada,Turquoise Hexagon Sun,307880
2021-10-09 04:17,David Holmes,Let's Get Killed,448133
2021-10-09 04:22,Bonobo,Terrapin,279933
2021-10-09 04:26,Red Snapper feat. Beth Orton,Snapper,287906
2021-10-09 04:34,Tricky,Aftermath,458666
2021-10-09 04:41,Nightmares On Wax,Stars,419426
