endTime,artistName,trackName,msPlayed
2021-10-16 13:16,Adele,Easy On Me,69464
2021-10-16 13:18,The Kid LAROI,STAY (with Justin Bieber),103143
2021-10-16 13:28,Glass Animals,Heat Waves,5980
2021-10-18 09:50,Daryl Hall & John Oates,Maneater,148640
2021-10-18 13:34,The Kid LAROI,STAY (with Justin Bieber),141805
2021-10-18 13:39,Justin Bieber,Sorry,177680
2021-10-18 13:43,Phil Collins,In The Air Tonight - 2015 Remastered,197840
2021-10-18 13:49,Phil Collins,Another Day in Paradise - 2016 Remaster,316120
2021-10-18 13:52,Afrojack,Ten Feet Tall,229149
2021-10-18 13:58,Fall Out Boy,Centuries,228360
2021-10-18 14:00,Sheppard,Geronimo,50340
2021-10-18 14:04,Adele,Rolling in the Deep,241906
2021-10-18 14:10,Adele,Skyfall,286480
2021-10-18 14:13,Hans Zimmer,Square Escape,124888
2021-10-18 14:14,Hans Zimmer,Gun Barrel,55520
2021-10-18 14:25,Hans Zimmer,Matera,8790
2021-10-18 14:26,Sam Smith,"Writing's On The Wall - From ""Spectre"" Soundtrack",87640
2021-10-18 14:29,David Guetta,Titanium (feat. Sia),98540
2021-10-18 14:29,Sia,"Thunderclouds (feat. Sia, Diplo, and Labrinth)",42680
2021-10-18 14:30,Sia,1+1,43740
2021-10-18 14:31,Sia,Floating Through Space,56060
2021-10-18 14:31,Sia,Courage to Change,0
2021-10-18 14:33,Sia,Courage to Change,96180
2021-10-18 14:36,Sia,Together,27700
2021-10-18 14:39,Scorpions,Wind Of Change,176800
2021-10-18 14:47,Oasis,Don't Look Back in Anger - Remastered,124043
2021-10-18 15:05,Michael Sembello,Maniac,237220
2021-10-22 13:14,Glass Animals,Heat Waves,64104
2021-10-22 13:25,Kygo,It Ain't Me (with Selena Gomez),94020
2021-10-22 16:02,Martin Garrix,Scared to Be Lonely,206040
2021-10-22 16:13,David Guetta,Titanium (feat. Sia),82200
2021-10-23 05:15,George Michael,Careless Whisper,84813
2021-10-24 11:37,Coldplay,Hymn for the Weekend,255324
2021-10-24 11:41,Linkin Park,CASTLE OF GLASS,205400
2021-10-24 11:57,Ed Sheeran,Castle on the Hill,257420
2021-10-25 09:36,Sam Smith,"Writing's On The Wall - From ""Spectre"" Soundtrack",276120
2021-10-25 09:39,Shawn Mendes,Stitches,206880
2021-10-25 09:45,Felix Jaehn,Ain't Nobody (Loves Me Better) (feat. Jasmine Thompson),183660
2021-10-25 09:47,Years & Years,King,89440
2021-10-25 09:50,Adele,When We Were Young,101280
2021-10-25 09:52,Ellie Goulding,On My Mind,22800
2021-10-25 09:52,The Weeknd,In The Night,79800
2021-10-25 10:04,Taylor Swift,Wildest Dreams,94980
2021-10-25 13:53,Twenty One Pilots,Stressed Out,202333
2021-10-25 13:57,One Direction,Drag Me Down,187291
2021-10-25 14:07,Justin Bieber,Sorry,78320
2021-10-25 14:08,The Kid LAROI,STAY (with Justin Bieber),49260
2021-10-25 14:10,Zedd,Stay,72163
2021-10-25 14:11,Felix Jaehn,Ain't Nobody (Loves Me Better) (feat. Jasmine Thompson),41940
2021-10-25 14:15,Avril Lavigne,Complicated,178080
2021-10-25 14:26,George Michael,Careless Whisper,47800
2021-10-26 13:11,Felix Jaehn,Ain't Nobody (Loves Me Better) (feat. Jasmine Thompson),113100
2021-10-26 13:13,Scorpions,Wind Of Change,80580
2021-10-26 13:27,Oasis,Don't Look Back in Anger - Remastered,225180
2021-10-27 13:03,Oasis,Don't Look Back in Anger - Remastered,193240
2021-10-27 13:05,Ed Sheeran,Bad Habits,93920
2021-10-27 13:07,The Kid LAROI,STAY (with Justin Bieber),141805
2021-10-27 13:11,Train,Drive By,195973
2021-10-27 13:15,Train,"Hey, Soul Sister",215200
2021-10-27 13:18,Adele,Rolling in the Deep,147450
2021-10-27 13:24,Adele,Skyfall,311761
2021-10-27 13:26,Felix Jaehn,Ain't Nobody (Loves Me Better) (feat. Jasmine Thompson),41651
2021-10-27 13:37,Rihanna,Only Girl (In The World),50480
2021-10-28 10:25,Scorpions,Wind Of Change,312360
2021-10-28 10:38,Post Malone,Circles,215280
2021-10-28 10:51,Glass Animals,Heat Waves,196424
2021-10-28 10:56,David Guetta,Titanium (feat. Sia),245040
2021-10-28 11:16,Afrojack,Hero,171840
2021-10-28 11:18,Afrojack,Anywhere With You,77764
2021-10-28 11:30,Afrojack,Ten Feet Tall,154440
2021-10-31 10:18,Justin Bieber,Sorry,200786
2021-10-31 10:20,Felix Jaehn,Ain't Nobody (Loves Me Better) (feat. Jasmine Thompson),77738
2021-10-31 10:36,Sam Smith,Like I Can,24400
2021-11-01 14:45,Maroon 5,Sugar,21977
2021-11-01 14:48,One Direction,Drag Me Down,192120
2021-11-01 14:49,Zara Larsson,Lush Life,1320
2021-11-01 15:02,Justin Bieber,Sorry,198960
2021-11-01 17:51,Calvin Harris,Blame (feat. John Newman),208284
2021-11-01 18:00,Calvin Harris,Blame (feat. John Newman),223258
2021-11-01 18:01,Ian Post,Can't Stop Won't Stop,15260
2021-11-01 18:01,Rihanna,Where Have You Been,20579
2021-11-01 18:02,Usher,Can't Stop Won't Stop,10614
2021-11-01 18:06,Miley Cyrus,We Can't Stop,241696
2021-11-01 18:25,Miley Cyrus,We Can't Stop,231240
2021-11-02 10:29,Calvin Harris,Blame (feat. John Newman),212960
2021-11-02 10:33,Rihanna,Where Have You Been,242680
2021-11-02 10:38,Miley Cyrus,We Can't Stop,231240
2021-11-02 10:48,Miley Cyrus,We Can't Stop,231240
2021-11-02 10:52,Miley Cyrus,We Can't Stop,231240
2021-11-02 10:57,Miley Cyrus,We Can't Stop,231240
2021-11-02 11:01,The Kid LAROI,STAY (with Justin Bieber),141805
