endTime,artistName,trackName,msPlayed
2022-10-04 14:30,Narendra Doddapaneni,Colorful Chilaka,190340
2022-10-05 02:29,Devi Sri Prasad,Legend,2716
2022-10-05 02:34,Narendra Doddapaneni,Time Bomb,253394
2022-10-05 02:35,Vijay Yesudas,Nee Kanti Choopullo,35131
2022-10-05 02:39,The Weeknd,Blinding Lights,200040
2022-10-05 02:39,Sean Paul,No Lie,0
2022-10-05 02:40,The Weeknd,Starboy,43157
2022-10-05 02:40,Twenty One Pilots,Stressed Out,2998
2022-10-05 02:44,Charlie Puth,We Don't Talk Anymore (feat. Selena Gomez),217706
2022-10-05 02:59,Sean Paul,No Lie,45336
2022-10-05 08:05,Narendra Doddapaneni,Time Bomb,253394
2022-10-05 08:09,Vijay Yesudas,Nee Kanti Choopullo,244622
2022-10-05 08:15,Sooraj Santhosh,Thanjavuru,261608
2022-10-05 08:19,Balakrishna,Flutu Jinka Mundu,22073
2022-10-05 08:19,Sagar,Lasku Tapa,253796
2022-10-05 08:20,Balakrishna,Nuvvu Bhayapedithe,27146
2022-10-05 08:20,Balakrishna,Okadu Nakedochhina,1175
2022-10-05 08:25,Devi Sri Prasad,Rakhi Rakhi,333426
2022-10-05 08:32,Yazin Nizar,O Vasumathi,284296
2022-10-05 08:32,Kailash Kher,Vachaadayyo Saami,24978
2022-10-05 08:35,Sagar,Box Badhalai Poyi,147554
2022-10-09 05:13,Karthik,Saradaga..Chandamaamane,2171
2022-10-09 05:13,Thoshi,Sehari Sehari,4653
2022-10-09 05:17,Siddharth,Oy..Oy..,261633
2022-10-09 16:36,Siddharth,Oy..Oy..,8975
2022-10-09 16:47,The Weeknd,Starboy,24343
2022-10-15 13:42,The Weeknd,Starboy,58543
2022-10-15 13:47,Devi Sri Prasad,Rakhi Rakhi,333426
2022-10-15 13:51,Devi Sri Prasad,Rakhi Rakhi,179087
2022-10-15 13:57,Narendra Doddapaneni,Time Bomb,253394
2022-10-15 13:57,Vijay Yesudas,Nee Kanti Choopullo,25576
2022-10-15 14:01,Sagar,Aakasam Badhalaina,227225
2022-10-15 14:05,Siddharth,Oy..Oy..,213520
2022-10-15 14:09,Nakash Aziz,"Ra Ra Rakkamma (From ""Vikrant Rona"")",218343
2022-10-15 14:13,Kala Bhairava,"Komuram Bheemudo (From ""RRR"")",191937
2022-10-15 14:17,Devi Sri Prasad,Bullet Song,237263
2022-10-15 14:21,Haricharan,Dum Dare,231592
2022-10-15 14:25,Devi Sri Prasad,Pudikale Pudikudhu,257293
2022-10-15 14:28,Karthik,Aata Paatalaadu,132461
2022-10-15 14:34,David Simon,"Bharat Ane Nenu (The Song Of Bharat) [From ""Bharat Ane Nenu""]",324917
2022-10-15 14:38,Devi Sri Prasad,"Yentha Sakkagunnave (From ""Rangasthalam"")",262122
2022-10-15 14:43,Yazin Nizar,"O Vasumathi (From ""Bharat Ane Nenu"")",273824
2022-10-15 14:45,M.M.Manasi,"Rangamma Mangamma (From ""Rangasthalam"")",82207
2022-10-17 16:38,Anurag Kulkarni,Sirivennela,6000
2022-10-17 17:16,Anurag Kulkarni,Sirivennela,560
2022-10-18 12:48,Anurag Kulkarni,Sirivennela,246880
2022-10-18 12:53,M.M.Manasi,"Rangamma Mangamma (From ""Rangasthalam"")",248639
2022-10-18 12:57,Geetha Madhuri,"Pakka Local (From ""Janatha Garage"")",259329
2022-10-18 13:02,Devi Sri Prasad,Bullet Song,237263
2022-10-18 13:06,Karthik,Aata Paatalaadu,274546
2022-10-18 13:11,Devi Sri Prasad,Pudikale Pudikudhu,257293
2022-10-18 13:12,Thaman S,Home Coming,73947
2022-10-18 13:16,Devi Sri Prasad,Naa Manasu Neelo,261799
2022-10-18 13:21,Haricharan,Dum Dare,231592
2022-10-18 13:25,Javed Ali,"Srivalli (From ""Pushpa The Rise Part - 01"")",224072
2022-10-18 13:29,Chirantan Bhatt,Eeshwarude,258135
2022-10-18 13:33,Young Tiger NTR,Follow Follow,218801
2022-10-18 13:38,Sagar,Box Badhalai Poyi,213169
2022-10-18 13:42,Devi Sri Prasad,Life Ante Itta Vundaala,253400
2022-10-18 13:47,Karthik,Unnaale Unnaale,283373
2022-10-18 13:50,Kanika Kapoor,"Oo Bolega Ya Oo Oo Bolega (From ""Pushpa The Rise Part - 01"")",226313
